Stimuli,Dosage ,Time point,Cell line,Experiment Type,lncRNA name as in article,NCBI_Gene_symbol,Ensembl_id,Foldchange,Expression,PubMed_ID,Reference
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LINC-ROR,LINC-ROR,ENSG00000258609,2.56727884,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LMCD1-AS1,LMCD1-AS1,ENSG00000227110,1.767548743,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LNX1-AS2,LNX1-AS2,,1.919645615,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100128770,LOC100128770,ENSG00000205890,1.501453713,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100130992,LOC100130992,,2.443247474,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100131496,LOC100131496,ENSG00000267882,3.019123975,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100131626,LOC100131626,,0.646077886,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100240735,LOC100240735,ENSG00000250654,0.621032209,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100288069,LOC100288069,,1.643065507,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100505918,LOC100505918,,2.321021682,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100506178,LOC100506178,ENSG00000232759,2.310235622,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC100507156,LOC100507156,ENSG00000253837,2.572498079,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC283194,LOC283194,ENSG00000255240,0.506863787,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LOC284344,LOC284344,ENSG00000241104,1.694594392,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,LRP4-AS1,LRP4-AS1,ENSG00000247675,0.572901889,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,MALAT1,MALAT1,ENSG00000251562,2.339386119,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,MATN1-AS1,MATN1-AS1,ENSG00000186056,2.105116389,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,MEG9,MEG9,ENSG00000223403,2.851300315,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,MIR155HG,MIR155HG,ENSG00000234883,23.50523175,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,MIR17HG,MIR17HG,ENSG00000215417,2.027806511,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,MIR210HG,MIR210HG,ENSG00000247095,0.494499168,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,MIR31HG,MIR31HG,ENSG00000171889,0.249805994,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,MIR600HG,MIR600HG,ENSG00000236901,0.486536518,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,NDUFB2-AS1,NDUFB2-AS1,ENSG00000240889,0.649715487,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,NEAT1,NEAT1,ENSG00000245532,4.115078637,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,NPHP3-ACAD11,NPHP3-ACAD11,ENSG00000274810,0.647359942,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,NPPA-AS1,NPPA-AS1,,0.337090997,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,OIP5-AS1,OIP5-AS1,ENSG00000247556,0.568621281,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,PACRG-AS1,PACRG-AS1,ENSG00000281692,3.682077519,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,PARD6G-AS1,PARD6G-AS1,ENSG00000267270,0.567947704,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,PROSER2-AS1,PROSER2-AS1,ENSG00000225778,1.762740371,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,PSMD6-AS2,PSMD6-AS2,ENSG00000239653,1.795094756,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,PXN-AS1,PXN-AS1,ENSG00000255857,0.48424196,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,RFPL3S,RFPL3S,ENSG00000205853,1.882369696,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,RNF157-AS1,RNF157-AS1,ENSG00000267128,1.568765812,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,RPL32P3,RPL32P3,ENSG00000251474,1.82284261,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,RPL32P3,RPL32P3 ,ENSG00000251474,1.82284261,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,RPS6KA2-IT1,RPS6KA2-IT1,ENSG00000232082,1.83592866,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,SLC22A18AS,SLC22A18AS,ENSG00000254827,0.332477819,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,SMG7-AS1,SMG7-AS1,ENSG00000232860,1.768259485,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,SNAI3-AS1,SNAI3-AS1,ENSG00000260630,0.526753536,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,SNHG9,SNHG9,ENSG00000255198,0.460349026,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,SOCS2-AS1,SOCS2-AS1,ENSG00000246985,1.646828133,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,ST3GAL6-AS1,ST3GAL6-AS1,,0.655851001,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,ST7-AS1,ST7-AS1,ENSG00000227199,1.688333604,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,THAP9-AS1,THAP9-AS1,ENSG00000251022,1.78682705,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,TMEM44-AS1,TMEM44-AS1,,1.544500138,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,TMPO-AS1,TMPO-AS1,ENSG00000257167,0.438436557,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,TPT1-AS1,TPT1-AS1,,1.515590498,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,TRHDE-AS1,TRHDE-AS1,,0.522042801,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,USP30-AS1,USP30-AS1,,4.969222015,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,WWC2-AS2,WWC2-AS2,ENSG00000251359,1.651285984,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,ZFAS1,ZFAS1,ENSG00000177410,1.958908485,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,ZNF205-AS1,ZNF205-AS1,,0.591836263,Downregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,ZNF503-AS1,ZNF503-AS1,ENSG00000226051,1.850506239,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,ZNF790-AS1,ZNF790-AS1,ENSG00000267254,1.901542258,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Calu-3 Human adenocarcinomic lung epithelial cells,RNA-Seq,ZNRF3-AS1,ZNRF3-AS1,ENSG00000177993,1.993204864,Upregulation,32416070,Table S1
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000093100,,ENSG00000093100,0.123202174,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000157306,ZFHX2-AS1,ENSG00000157306,2.139792959,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000167920,KRT10-AS1,ENSG00000167920,0.403169796,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000175061,SNHG29,ENSG00000175061,0.425970529,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000177410,ZFAS1,ENSG00000177410,0.401235401,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000185186,LINC00313,ENSG00000185186,2.03811762,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000196756,SNHG17,ENSG00000196756,0.446828466,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000203392,,ENSG00000203392,2.908745034,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000203644,,ENSG00000203644,0.113803127,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000203875,SNHG5,ENSG00000203875,0.303277741,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000204362,LINC02783,ENSG00000204362,2.832227483,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000204387,SNHG32,ENSG00000204387,0.254301478,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000205488,CALML3-AS1,ENSG00000205488,2.522903195,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000212978,,ENSG00000212978,0.4332661,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000213599,SLX1A-SULT1A3,ENSG00000213599,0.386398291,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000214049,UCA1,ENSG00000214049,2.324508122,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000214401,KANSL1-AS1,ENSG00000214401,0.345382357,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000214772,,ENSG00000214772,2.772218751,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000215039,CD27-AS1,ENSG00000215039,2.107872598,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000219410,,ENSG00000219410,0.079860579,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000221990,EXOC3-AS1,ENSG00000221990,0.44773418,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000224032,EPB41L4A-AS1,ENSG00000224032,0.412405048,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000224409,,ENSG00000224409,2.614976727,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000224525,,ENSG00000224525,2.195728845,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000225339,,ENSG00000225339,0.439523563,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000226240,LINC00381,ENSG00000226240,0.491936011,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000226853,,ENSG00000226853,0.408032577,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000226950,DANCR,ENSG00000226950,0.252418301,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000227403,LINC01806,ENSG00000227403,0.49414763,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000227617,CERS6-AS1,ENSG00000227617,0.188396409,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000227751,RCC2-AS1,ENSG00000227751,18.48689027,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000228748,,ENSG00000228748,0.23389059,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000228830,,ENSG00000228830,0.153959402,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000228889,UBAC2-AS1,ENSG00000228889,0.48515355,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000229807,XIST,ENSG00000229807,2.005449296,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000229851,ARSD-AS1,ENSG00000229851,8.559655796,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000230082,PRRT3-AS1,ENSG00000230082,0.329079578,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000230526,,ENSG00000230526,3.103442322,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000230606,,ENSG00000230606,2.790182408,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000230896,,ENSG00000230896,0.266720506,Downregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000231187,,ENSG00000231187,2.520925233,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000231574,LINC02015,ENSG00000231574,6.431676797,Upregulation,32646047,Supplementary table 7
Severe acute respiratory syndrome coronavirus 2 (USA-WA1/2020 strain of SARS-CoV-2),MOI = 2 , 24 hrs,Primary Human Bronchial epithelial (NHBE) cells,RNA-Seq,ENSG00000231628,,ENSG00000231628,2.516549021,Upregulation,32646047,Supplementary table 7
