level_0,index,Accession,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3
44,44,NP_054733.2,False,High,Master Protein,6256395688163040256,3680,SNRNP200#23020#U5 small nuclear ribonucleoprotein 200 kDa helicase [Homo sapiens],0,416.32,0,34,55,472,55,55,1,2136,244.4,6.06,2891,748.58,33,34,224,248,54,51,0,6582.3,5322.7,6927.9,6718.6,5363.2,6898.4,6877.9,5566.5,7166.5,6894.8,5607.2,7209.0,6219.0778412690825,4708.8539535248165,6392.912660976777,6737.331149918199,5178.482379321303,6625.541918163954,6569.15555528064,4912.847844228094,6497.384719888456,6894.8,5202.078319051532,6773.623194436189
45,45,NP_001341087.1,False,High,Master Protein,-2333101891394808832,1606,ACSL3#2181#long-chain-fatty-acid--CoA ligase 3 [Homo sapiens],0,413.755,0,62,33,1060,30,30,1,720,80.4,8.38,4295,1690.02,58,62,491,569,30,33,4,16969.5,19067.5,20182.9,17866.8,20282.1,21678.6,21333.2,24232.5,26141.2,22241.5,25285.2,27097.3,16033.09503173901,16868.520254538944,18624.33305117398,20897.197238609886,22543.352960909633,24167.950379000566,17469.38178714139,18578.99598400556,20418.387508490938,22241.5,23458.337621786595,25460.79897164596
46,46,NP_006079.1,False,High,Master Protein,6674387397432112128,3776,TUBB4B#10383#tubulin beta-4B chain [Homo sapiens],0,400.997,0,82,28,1310,1,1,1,445,49.8,4.89,5848,2102.48,82,82,626,684,28,26,34,23147.0,22509.1,26396.4,17559.9,16927.3,19976.9,17505.4,16737.1,19791.3,19479.5,18797.2,22156.6,21869.710403940182,19913.21406904117,24358.013216733416,17147.62888552873,15570.426197958965,18297.367999017406,17169.3082837455,15505.901199582753,18815.610114046696,19479.5,17439.097335368002,20818.485181002197
47,47,NP_821133.1,False,High,Master Protein,6480137070562712576,3727,TUBB#203068#tubulin beta chain isoform b [Homo sapiens],0,400.362,0,82,28,1509,0,5,1,444,49.6,4.89,7351,2396.87,82,82,728,781,28,26,2,8036.2,7401.0,6880.1,5966.6,5512.0,5094.9,5854.7,5459.4,4990.8,6835.8,6515.0,5816.4,7592.74924388232,6547.471792518302,6348.803879788439,5735.04306306083,5078.84787598432,4614.073062886019,5833.882585082825,5049.152990264256,4798.725126023382,6835.8,6044.2895292874755,5465.127194911727
48,48,NP_004334.1,False,High,Master Protein,8610404900026586112,4223,CALR#811#calreticulin precursor [Homo sapiens],0,392.637,0,77,27,1724,27,27,1,417,48.1,4.44,6129,2200.6,77,69,837,887,27,21,0,26041.2,26690.9,25986.6,24651.4,25077.4,24576.0,28031.4,29212.5,28573.1,27947.1,29155.7,28071.7,24604.203679573468,23612.743530188724,23979.858854160586,27458.50105349264,27176.217821956987,26416.28016212802,24103.0692786362,22971.630841446455,23147.356905366276,27947.1,27049.192974527527,26376.351536586815
49,49,NP_001393.1,False,High,Master Protein,-410325427073227712,2043,EEF1A1#1915#elongation factor 1-alpha 1 [Homo sapiens],0,392.58,0,73,29,1127,17,17,1,462,50.1,9.01,4145,1571.91,73,71,554,573,28,26,16,26600.6,30024.6,25592.8,28411.4,32302.2,27115.9,24557.6,27791.8,23809.4,22177.8,25076.7,21240.1,25132.73506592868,26561.981027110527,23616.468937173813,24055.697734371126,25854.548924750165,22012.164619595736,27779.43412962528,29589.758657858136,25539.608362232317,22177.8,23264.901801854678,19957.335831896806
50,50,NP_004902.1,False,High,Master Protein,-7576515921520274432,370,PDIA4#9601#protein disulfide-isomerase A4 isofrom 2 precursor [Homo sapiens],0,384.678,0,58,45,1082,0,45,1,645,72.9,5.07,3876,1415.05,58,57,524,558,45,41,0,18962.0,18944.2,15603.5,17322.9,17417.5,14315.3,17994.7,18413.7,15060.3,18427.1,18491.1,15043.1,17915.645598976702,16759.439958360388,14398.564168875295,17626.928690942445,17130.15736784491,13923.484120578327,16937.579967340072,15954.93871696801,13483.128186335849,18427.1,17155.113141213755,14134.594406467337
51,51,NP_004125.3,False,High,Master Protein,5561612098835552256,3519,"HSPA9#3313#stress-70 protein, mitochondrial precursor [Homo sapiens]",0,378.739,0,65,39,924,38,38,1,679,73.6,6.16,5979,1408.76,65,63,440,484,39,37,0,12778.5,12202.8,13454.0,13763.1,13170.3,14688.0,14882.6,14352.7,16239.8,14654.2,14040.2,15767.4,12073.361316660888,10795.499093330945,12415.053182173757,14578.43303505032,13352.232829549064,15013.950414093206,13456.961989533978,12064.379468011126,13834.162525472813,14654.2,13025.791841765466,14815.15138798074
52,52,NP_000909.2,False,High,Master Protein,-2586862151232699392,1541,P4HB#5034#protein disulfide-isomerase precursor [Homo sapiens],0,378.499,0,72,37,1236,10,37,1,508,57.1,4.87,6653,1834.17,72,68,593,643,37,33,0,32358.8,26029.6,23951.2,31770.4,25814.2,23934.2,35202.6,28549.4,26245.9,35373.9,28329.6,26136.6,30573.18810295155,23027.708657010455,22101.6368200446,34483.13780923108,26559.3397718846,24264.747175042114,31063.718580282806,23646.561161335187,22542.86578956777,35373.9,26282.778917713345,24558.119015633358
53,53,NP_573566.2,False,High,Master Protein,-1039523901046503168,1899,"LRPPRC#10128#leucine-rich PPR motif-containing protein, mitochondrial precursor [Homo sapiens]",0,375.681,0,51,59,485,0,59,1,1394,157.8,6.13,2015,690.47,49,50,231,254,58,56,0,9029.4,8595.2,9823.8,8889.3,8614.0,9686.1,9532.5,9083.7,10546.5,10381.8,9866.6,11120.4,8531.142831526222,7603.9494056280655,9065.185034267768,9337.677079718407,8450.512959497157,9750.405056850084,8691.571827100317,7890.675591098748,9123.03115727003,10381.8,9153.735544077945,10448.800023776972
54,54,XP_024306305.1,False,High,Master Protein,4874670657009698816,3346,PRPF8#10594#pre-mRNA-processing-splicing factor 8 isoform X1 [Homo sapiens],0,372.958,0,30,59,458,59,59,1,2335,273.4,8.84,1753,666.68,29,30,213,245,57,57,0,5085.2,6419.8,8460.5,5168.2,6451.7,8313.5,5203.3,6589.0,8548.8,5181.3,6688.1,8697.6,4804.590285830414,5679.429727551546,7807.161992550993,5096.956218085371,6129.708146474098,7903.5,5053.24170821323,5909.9456363004165,7830.222641307069,5181.3,6204.8830085690815,8172.3214171075315
55,55,NP_066964.1,False,High,Master Protein,-8484028389043526656,185,XRCC5#7520#X-ray repair cross-complementing protein 5 [Homo sapiens],0,370.837,0,61,35,816,35,35,1,732,82.7,5.81,4883,1323.96,61,60,400,416,35,30,0,12560.7,9608.4,10923.1,12939.8,10028.4,11124.3,12180.8,9458.6,10603.8,12379.7,9504.4,10684.8,11867.57987949935,8500.301036513018,10079.59472381464,11931.851767388825,8799.280235884034,9803.379807692309,12651.974973092672,9186.307301808067,10477.626237889242,12379.7,8817.70458974058,10039.507436247994
56,56,NP_938149.2,False,High,Master Protein,4560107996083379712,3268,GANAB#23193#neutral alpha-glucosidase AB isoform 3 precursor [Homo sapiens],0,367.701,0,62,44,805,0,1,1,966,109.4,6.24,2876,1149.96,62,58,397,408,44,40,46,14409.5,14571.5,14170.6,14754.7,14843.9,14114.2,18305.4,18567.8,17638.9,16400.9,16726.6,15914.0,13614.360049491339,12891.026243032082,13076.315788859181,17931.278679787818,17273.51569617571,16307.440360050536,14426.505443321415,13597.445949235047,13293.71845840335,16400.9,15518.098732245568,14952.89769957796
57,57,NP_001888.2,False,High,Master Protein,4815879602494018560,3329,CSPG4#1464#chondroitin sulfate proteoglycan 4 precursor [Homo sapiens],0,365.524,0,29,48,440,48,48,1,2322,250.4,5.47,2536,719.37,29,29,209,231,48,46,0,4904.8,5581.9,5076.6,4686.8,5419.2,4944.5,4756.0,5402.1,4978.3,4654.1,5294.6,4895.3,4634.1450550501495,4938.161437462222,4684.574028885335,4658.7980268702595,5025.542021257813,4602.51661636721,4582.5496764935115,4964.1454798331015,4657.068124128562,4654.1,4912.06375161404,4599.655655947216
58,58,NP_938148.1,False,High,Master Protein,-3028691531671689216,1431,GANAB#23193#neutral alpha-glucosidase AB isoform 2 precursor [Homo sapiens],0,364.58,0,64,44,806,0,1,1,944,106.8,6.14,2878,1153.02,64,62,395,411,44,41,0,54.4,0.0,12.1,53.2,0.0,9.0,83.5,0.0,2.4,69.6,0.0,9.7,51.39811837276303,0.0,11.165611974453876,81.79344727579198,0.0,2.2188377316114543,52.01665161505821,0.0,8.476815272961282,69.6,0.0,9.114182963799559
59,59,NP_004784.2,False,High,Master Protein,8375301801822560256,4169,"LONP1#9361#lon protease homolog, mitochondrial isoform 1 precursor [Homo sapiens]",0,363.901,0,56,39,512,0,39,1,959,106.4,6.39,2204,800.02,56,54,244,268,38,35,0,6718.9,7070.3,6713.0,6986.0,7393.6,7124.2,7861.4,8253.2,7843.5,7953.6,8560.5,8273.4,6348.140028212454,6254.910122232422,6194.60770119908,7700.7306157354615,7677.9036689148625,7251.439061622685,6830.60767260896,6772.753546592489,6710.058596403418,7953.6,7942.001614039206,7773.740343577245
60,60,XP_006718627.1,False,High,Master Protein,6210925912035565568,3671,NUMA1#4926#nuclear mitotic apparatus protein 1 isoform X3 [Homo sapiens],0,363.784,0,31,44,318,0,44,1,2115,238.1,5.78,1697,530.45,30,28,160,158,41,40,0,5274.1,5272.2,3996.2,5000.5,5023.0,3886.9,5016.8,4979.6,3822.8,5305.6,5217.3,4106.3,4983.066472606425,4664.177919810159,3687.60484068699,4914.2678597987215,4632.492743387831,3534.238700168445,4889.271924832679,4601.214707927677,3660.9481427192454,5305.6,4840.348697030168,3858.306134458777
61,61,NP_005304.3,False,High,Master Protein,1547781430018805504,2537,PDIA3#2923#protein disulfide-isomerase A3 precursor [Homo sapiens],0,359.278,0,63,39,1151,39,39,1,505,56.7,6.35,5767,1570.94,62,62,559,592,38,33,0,21614.7,18837.8,24467.0,20182.0,17506.3,22756.9,22094.0,19655.5,25273.4,21903.7,19363.0,25165.7,20421.965242495608,16665.310651682375,22577.60563462504,21642.448192950276,18285.39664183057,23365.655635878724,19733.083889005728,16036.282110570235,21434.00416502807,21903.7,17964.01813593145,23645.8550734114
62,62,NP_004437.2,False,High,Master Protein,1156142612126302720,2441,EPRS1#2058#bifunctional glutamate/proline--tRNA ligase [Homo sapiens],0,359.252,0,39,49,495,19,49,1,1512,170.5,7.33,2006,754.29,39,37,238,257,49,45,0,7560.6,8605.7,7106.4,7786.6,8911.9,7307.4,7449.3,8549.8,6898.1,6866.3,8042.2,6498.8,7143.393635461621,7613.238481944974,6557.6285070462,7297.053015467751,7953.828913450332,6377.401898512073,7613.3996140190275,8163.5606919332395,6882.608880626363,6866.3,7461.148925930273,6106.314664447483
63,63,NP_000692.2,False,High,Master Protein,-2084755087725056256,1665,ATP1A1#476#sodium/potassium-transporting ATPase subunit alpha-1 isoform a [Homo sapiens],0,356.985,0,49,39,1242,0,36,1,1023,112.8,5.49,8020,2047.01,49,48,587,655,39,38,3,13428.0,15655.1,14341.8,13066.6,15368.3,13959.6,13345.4,15984.3,14206.1,13839.7,16162.5,14608.0,12687.020836570991,13849.658918937072,13234.295356629968,13072.649955381488,14870.100762738795,13133.762791268951,12775.954511152624,14077.811665507648,13148.105609381146,13839.7,14994.755106233126,13725.771622183915
64,64,NP_001152759.1,False,High,Master Protein,8846805291568529408,4278,TPI1#7167#triosephosphate isomerase isoform 2 [Homo sapiens],0,356.179,0,80,23,1133,0,23,1,286,30.8,5.92,6128,1929.94,80,79,538,595,23,21,0,24364.0,21358.8,22405.0,24001.3,20980.0,22064.1,22851.1,19952.6,20858.6,24370.8,20856.0,21882.8,23019.554338860264,18895.573641675437,20674.83770972224,22384.074766992217,18561.787033440443,19284.10362857945,23467.429706926625,19218.29276773296,20781.477762682778,24370.8,19349.148491606997,20561.22092373536
65,65,NP_002511.1,False,High,Master Protein,4751284344252295168,3308,NPM1#4869#nucleophosmin isoform 1 [Homo sapiens],0,353.547,0,69,23,1981,0,23,1,294,32.6,4.78,6657,2619.0,69,69,1017,964,23,19,0,38142.7,36961.7,32207.0,42404.5,40872.8,35887.2,43473.3,41374.7,36381.5,43406.0,41653.9,36799.9,36037.922971632135,32699.052581208445,29719.90618687901,42584.80325095435,38490.64131854937,33635.26872192589,41461.280139299546,37440.678581363005,33801.01834042401,43406.0,38644.394723559104,34577.424912322414
66,66,NP_002256.2,False,High,Master Protein,-7238306351176714240,434,KPNB1#3837#importin subunit beta-1 isoform 1 [Homo sapiens],0,350.959,0,62,34,508,6,34,1,876,97.1,4.78,2799,865.18,61,62,228,280,33,34,0,6505.0,7408.4,9721.7,6499.3,7449.9,9734.9,6043.4,6811.5,9233.0,5636.6,6380.8,8581.8,6146.043382625432,6554.018379636885,8970.969415871758,5919.886458281691,6336.698594583141,8536.053656653567,6354.733530859921,6824.325990959665,9168.994333416755,5636.6,5919.785514731776,8063.514985436604
67,67,NP_005900.2,False,High,Master Protein,-6017876226430429184,729,MAP1B#4131#microtubule-associated protein 1B isoform 1 [Homo sapiens],0,347.486,0,30,52,360,6,52,1,2468,270.5,4.81,1330,483.1,29,27,178,182,51,48,0,6874.0,7086.8,4612.1,6407.6,6486.9,4317.3,6326.1,6688.8,4285.3,6224.5,6389.0,4148.7,6494.681354675975,6269.507242158992,4255.943717965184,6196.808704327997,6222.551502524806,3961.8272213644027,6265.073249786597,5942.189864394993,4066.3282864395273,6224.5,5927.393062566029,3898.145449681983
68,68,NP_001596.2,False,High,Master Protein,3490068427957957632,2995,"AARS1#16#alanine--tRNA ligase, cytoplasmic [Homo sapiens]",0,347.426,0,61,43,542,43,43,1,968,106.7,5.53,3454,893.18,59,57,260,282,42,38,0,7510.6,7671.8,6873.4,8083.3,8305.4,7485.9,8068.4,8250.3,7444.9,7063.4,7193.0,6468.2,7096.152717839595,6787.041494101055,6342.621268199278,7903.5,7675.205815883328,6882.927095030882,7903.5,7607.98897774687,7050.732383540096,7063.4,6673.303850217162,6077.562705819414
69,69,NP_002145.3,False,High,Master Protein,-613397371873318528,2000,HSPA4#3308#heat shock 70 kDa protein 4 [Homo sapiens],0,347.09,0,64,45,476,42,43,1,840,94.3,5.19,2399,641.1,63,57,231,245,44,38,2,8359.2,8943.2,7419.6,8227.9,8757.7,7392.3,7868.7,8431.5,7030.5,7635.4,8258.0,6704.5,7897.9255717206015,7911.815934988472,6846.642529393222,7707.881420108076,7843.7751156467375,6499.807780039304,8044.8836057055905,8022.308988178025,6962.573504701299,7635.4,7661.357318934147,6299.5917196695
70,70,NP_004037.1,False,High,Master Protein,2399497510241032192,2732,"ATP5F1A#498#ATP synthase subunit alpha, mitochondrial isoform a precursor [Homo sapiens]",0,345.788,0,61,34,1673,0,34,1,553,59.7,9.13,11319,2590.07,61,61,771,902,34,34,0,21845.4,21373.3,18019.4,22120.1,21896.4,18675.6,23192.4,23499.9,20028.9,23731.8,23836.6,20252.6,20639.93483640363,18908.40141373212,16627.903174584644,22718.399360468,21861.81946749532,18517.032934446943,21628.07397350092,20057.741933240613,17589.956812412856,23731.8,22114.399354384317,19029.474421922365
71,71,NP_000691.1,False,High,Master Protein,4388597074234396672,3223,ANXA1#301#annexin A1 [Homo sapiens],0,343.402,0,73,27,1777,1,27,1,346,38.7,7.02,13413,2881.23,73,71,850,927,27,25,0,34332.2,32293.7,31376.8,33367.4,31480.7,30823.8,31717.7,29868.0,28995.5,29850.0,28154.7,27346.9,32437.692639657624,28569.39465289127,28953.816016532593,31069.46134921422,27786.02563649846,26806.795602891638,32625.19588534386,28837.240664116827,29031.962067855995,29850.0,26120.51548890715,25695.324751827855
72,72,NP_055205.2,False,High,Master Protein,7742249596596208640,4025,SND1#27044#staphylococcal nuclease domain-containing protein 1 [Homo sapiens],0,343.08,0,50,39,487,16,39,1,910,101.9,7.17,2437,754.63,50,50,236,251,39,36,0,8233.7,9737.9,6898.5,8025.7,9261.5,6604.3,7660.1,9035.4,6225.4,7581.5,8969.8,6222.1,7779.3508684893195,8614.866311088228,6365.782992212402,7503.54473625502,8405.57975210989,5755.480172655812,7847.181219303997,8483.80450278164,6220.381234135355,7581.5,8321.72958093673,5846.325548356417
73,73,NP_001275905.1,False,High,Master Protein,2214005141303334400,2703,XRCC6#2547#X-ray repair cross-complementing protein 6 isoform 1 [Homo sapiens],0,338.87,0,59,39,688,0,39,1,609,69.8,6.64,2998,1123.91,59,49,322,366,39,32,0,13435.4,13559.3,15055.4,13970.2,14259.5,15636.5,13457.8,13604.9,15189.6,13235.5,13396.3,14706.6,12694.01249237905,11995.55928608207,13892.789629768007,13182.752751474889,12656.558865072917,14043.024003368895,13659.455383321168,13062.118480528512,14727.524668406566,13235.5,12428.41378682944,13818.416822207691
74,74,NP_001099008.1,False,High,Master Protein,8447085133855285248,4188,MYBBP1A#10514#myb-binding protein 1A isoform 1 [Homo sapiens],0,335.286,0,38,37,486,0,37,1,1332,149.3,9.28,2666,706.95,38,36,249,237,37,32,0,5216.3,5800.6,6365.0,5482.9,5871.2,6696.5,5518.2,5893.2,6537.2,5390.2,5735.6,6511.0,4928.455971835364,5131.639627034409,5873.48100970239,5405.420368350602,5482.409477735795,6043.744174621,5360.941713161704,5378.190681502086,6307.221497265025,5390.2,5321.201385139101,6117.777863639066
75,75,NP_006635.2,False,High,Master Protein,5926930809007955968,3601,HSPH1#10808#heat shock protein 105 kDa isoform 1 [Homo sapiens],0,334.554,0,58,40,767,0,38,1,858,96.8,5.39,4138,1142.71,57,53,369,398,39,35,0,12806.6,11568.7,11963.8,12456.9,11293.7,11867.3,11738.4,10409.2,11009.0,11071.9,9746.9,10466.4,12099.910712364466,10234.52735118315,11039.929631402585,11498.493431163552,9683.617853737773,10177.993578046042,12179.816306458995,10345.359057719055,11177.43443209038,11071.9,9042.68390069257,9834.297378588837
76,76,NP_005372.2,False,High,Master Protein,3602445909866352640,3023,NCL#4691#nucleolin [Homo sapiens],0,331.565,0,44,46,1393,46,46,1,710,76.6,4.7,5660,1675.31,44,43,671,722,46,38,0,33565.2,31611.3,30030.1,35616.8,33661.5,32571.9,35260.9,33846.4,32110.7,35532.5,33881.2,32360.1,31713.016963335762,27965.69315968569,27711.11108711135,34540.246287987706,31487.107878103037,29686.846978523306,34824.56160231589,30834.917159248955,30678.442154374177,35532.5,31433.274351449698,30405.76001307733
77,77,NP_004030.1,False,High,Master Protein,361994698644895616,2232,ANXA2#302#annexin A2 isoform 2 [Homo sapiens],0,329.371,0,78,32,1609,1,32,1,339,38.6,7.75,12059,2648.59,78,75,796,813,32,28,0,30961.4,31073.3,26393.6,32972.8,33025.1,28247.0,31841.7,31657.5,26640.8,31716.3,31596.1,27101.9,29252.8989372512,27489.738582685983,24355.42943875585,31190.927067324377,29450.78701578445,24629.83843346435,32239.37312731187,30251.95617176634,26604.955668370814,31716.3,29313.273429980043,25465.12116150508
78,78,NP_003283.2,False,High,Master Protein,7449371538365957120,3957,TPR#7175#nucleoprotein TPR [Homo sapiens],0,326.889,0,24,52,345,51,52,1,2363,267.1,5.02,1616,465.73,24,22,173,172,51,45,0,5183.3,6533.9,4461.3,5338.5,6821.9,4638.4,5657.6,7301.7,5021.4,5574.7,7131.8,4876.0,4897.276966204828,5780.371023528622,4116.788818316618,5541.971345000248,6792.7287863271995,4642.363243964065,5219.753658777974,6249.059648817802,4368.762218011512,5574.7,6616.525566381031,4581.521250668728
79,79,NP_114032.2,False,High,Master Protein,-165801227635855456,2102,HNRNPU#3192#heterogeneous nuclear ribonucleoprotein U isoform a [Homo sapiens],0,326.427,0,51,40,1083,2,2,1,825,90.5,6.0,3602,1466.31,51,45,530,553,40,33,40,24123.2,23981.9,21427.6,26021.2,25811.9,23327.8,26577.6,26186.5,23642.4,26623.8,26401.8,23902.6,22792.042079592593,21216.161840426248,19772.914639984123,26034.413464875317,24361.147727673997,21857.77049410444,25442.40028206302,23644.454294158553,21971.71681384291,26623.8,24494.26297687522,22459.03811448612
80,80,XP_006720201.1,False,High,Master Protein,8732346175470674944,4249,KTN1#3895#kinectin isoform X1 [Homo sapiens],0,326.088,0,38,43,409,0,43,1,1357,156.2,5.64,2138,662.82,38,36,202,207,43,39,0,5415.9,6307.6,5803.1,5248.6,6081.9,5680.7,5239.3,6039.6,5775.4,5652.3,6523.5,6184.8,5117.041714982486,5580.1693120508635,5354.9721362771315,5132.22045882703,5618.6045411208015,5339.448097978664,5131.853339601401,5571.1980354659245,5350.471613456795,5652.3,6052.175402042493,5811.278226237889
81,81,NP_005564.1,False,High,Master Protein,-2847148615950550528,1486,LMNB1#4001#lamin-B1 isoform 1 [Homo sapiens],0,324.508,0,58,40,601,20,35,1,586,66.4,5.16,2674,830.01,58,53,322,279,40,32,3,11148.2,11824.9,10818.4,12058.2,12484.7,11302.5,12818.0,13540.8,12207.6,12753.6,13816.4,12333.2,10533.023956677147,10461.180813315723,9982.979883010894,12556.028828516188,12596.927010134536,11286.118121841664,11789.984746328852,11436.349843532684,10645.467180293877,12753.6,12818.161450874515,11588.354776199252
82,82,NP_004492.2,False,High,Master Protein,-4137090159380989952,1172,HNRNPU#3192#heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens],0,322.883,0,50,39,1083,1,1,1,806,88.9,5.78,3574,1465.98,50,47,529,554,39,33,0,54.2,312.2,0.0,75.5,312.0,0.0,81.0,307.8,0.0,75.2,275.0,0.0,51.20915470227493,276.19520248942223,0.0,79.34454166873235,286.34453900208337,0.0,73.82062400257321,285.8011126564673,0.0,75.2,255.1311773682357,0.0
83,83,NP_006363.4,False,High,Master Protein,-515522588376760000,2018,SYNCRIP#10492#heterogeneous nuclear ribonucleoprotein Q isoform 1 [Homo sapiens],0,321.366,0,49,32,757,0,1,1,623,69.6,8.59,4204,1245.87,49,47,352,405,32,28,34,15377.9,11467.4,11192.4,15865.2,11941.3,11664.7,15570.3,11532.6,11415.5,15492.8,11617.6,11426.2,14529.322141994717,10144.90988157335,10328.098798584922,15252.077989440286,10728.71030050496,10553.809218837732,15512.304157955292,10938.57957232267,10986.611901612387,15492.8,10778.225331611691,10736.131688759437
84,84,NP_005337.2,False,High,Master Protein,2749950876556130816,2815,HSPA1B#3304#heat shock 70 kDa protein 1B [Homo sapiens],0,318.307,0,71,36,842,17,29,1,641,70.0,5.66,3813,1095.92,71,68,396,446,36,34,0,4162.1,5041.8,5582.3,4905.3,6038.5,6844.9,4059.5,5109.3,5661.7,3820.6,4657.5,5095.5,3932.428464692592,4460.349045199132,5151.222787189577,3976.532924743444,4753.151894487799,5234.330660443571,4796.189495626786,5531.442367872044,6446.99476243252,3820.6,4320.994394882028,4787.7648754681095
85,85,NP_000179.2,False,High,Master Protein,-7233412111740596224,436,HK1#3098#hexokinase-1 isoform HKI [Homo sapiens],0,316.989,0,53,43,467,0,40,1,917,102.4,6.8,2675,679.87,53,51,227,240,43,41,3,8365.1,8300.3,8564.9,7754.3,7785.7,8004.2,8402.7,8495.7,8783.8,9164.2,9376.8,9699.6,7903.5,7343.059062213168,7903.5,8230.967657776016,7903.5,8120.761194553622,7581.818075538456,7131.928598748261,7538.9027564263,9164.2,8699.323723441717,9113.807121203115
86,86,NP_001060.1,False,High,Master Protein,-7048585715635486720,483,TUBB2A#7280#tubulin beta-2A chain isoform 1 [Homo sapiens],0,310.568,0,62,23,1214,1,3,1,445,49.9,4.89,6059,1929.73,62,55,587,627,23,21,0,175.3,47.2,135.1,140.9,34.2,112.3,124.7,50.2,85.9,150.7,40.6,111.1,165.62665718281912,41.7566097293425,124.66728741724947,122.15141168013486,46.700766269995405,79.41590047725998,137.7659062511598,31.328198887343532,105.77181723928355,150.7,37.66663927691044,104.39028116269392
87,87,NP_000282.1,False,High,Master Protein,-1119286615561917824,1881,PGK1#5230#phosphoglycerate kinase 1 [Homo sapiens],0,310.179,0,76,28,910,23,28,1,417,44.6,8.1,4162,1266.98,76,72,422,488,28,26,0,19506.7,26247.5,18959.5,18820.6,25831.2,18404.6,18429.4,25215.8,17804.7,19678.5,27024.1,19290.6,18430.28815555104,23220.47910743469,17495.40663055027,18052.744397897975,23458.111197429283,16460.725066676026,18401.966041097076,23662.133657858136,17334.710485860356,19678.5,25071.601637516138,18125.572977471318
88,88,NP_006422.1,False,High,Master Protein,3002712347046388224,2869,CCT2#10576#T-complex protein 1 subunit beta isoform 1 [Homo sapiens],0,310.06,0,72,31,602,2,31,1,535,57.5,6.46,5361,979.8,72,70,292,310,30,28,0,9849.3,8518.4,8790.3,9746.0,8495.0,8681.5,9158.9,8054.6,8194.5,8847.0,7753.1,7889.8,9305.799398692185,7536.006447424389,8111.494127193546,8971.712625799415,7493.147250962251,7575.94407987086,9529.21591429243,7781.6681154381085,8176.830199134819,8847.0,7192.936477286067,7413.307293586162
89,89,XP_016865667.1,False,High,Master Protein,2468498205363218432,2751,SYNCRIP#10492#heterogeneous nuclear ribonucleoprotein Q isoform X4 [Homo sapiens],0,309.639,0,52,31,753,0,1,1,562,62.6,7.56,4200,1239.02,52,51,349,404,31,28,0,86.1,9.4,7.5,94.5,7.1,5.7,88.9,2.1,9.1,85.5,7.2,10.3,81.34886014512678,8.315934988470753,6.920833868463147,87.08308338704082,1.9536177124898477,8.413093065693431,92.39799957937971,6.503807371349096,5.368649672875479,85.5,6.679798098368353,9.677946858467575
90,90,NP_004238.3,False,High,Master Protein,8428260618384848896,4184,EFTUD2#9343#116 kDa U5 small nuclear ribonucleoprotein component isoform a [Homo sapiens],0,309.233,0,59,43,385,0,42,1,972,109.4,5.0,2416,645.05,59,59,184,201,43,42,0,4395.6,3658.8,5400.9,4425.6,3719.2,5365.5,4638.5,3827.4,5609.2,4564.0,3788.1,5567.1,4153.043549987448,3236.844993171999,4983.830885357681,4543.699463338457,3560.6078251350677,5185.793585064571,4327.159650142888,3406.8958275382474,5053.594705230418,4564.0,3514.4087745040497,5230.883296677169
