level_0,index,Accession,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3
44,44,NP_054733.2,False,High,Master Protein,6256395688163040256,3680,SNRNP200#23020#U5 small nuclear ribonucleoprotein 200 kDa helicase [Homo sapiens],0,416.32,0,34,55,472,55,55,1,2136,244.4,6.06,2891,748.58,33,34,224,248,54,51,0,6582.3,5322.7,6927.9,6718.6,5363.2,6898.4,6877.9,5566.5,7166.5,6894.8,5607.2,7209.0,6346.309677450549,5093.332350070536,6858.920733384506,6619.576859349442,5210.762498698077,6898.4,6678.1015784104275,5359.556634826302,7133.795547233975,6655.963006341602,5371.60262098178,7138.96452281782
45,45,NP_001341087.1,False,High,Master Protein,-2333101891394808832,1606,ACSL3#2181#long-chain-fatty-acid--CoA ligase 3 [Homo sapiens],0,413.755,0,62,33,1060,30,30,1,720,80.4,8.38,4295,1690.02,58,62,491,569,30,33,4,16969.5,19067.5,20182.9,17866.8,20282.1,21678.6,21333.2,24232.5,26141.2,22241.5,25285.2,27097.3,16361.105095710784,18245.836621445877,19981.94420673309,17603.46736382946,19705.624641043458,21678.6,20713.48472535881,23331.618818544575,26021.90415954131,21471.05082171299,24222.793300051457,26834.049571944972
46,46,NP_006079.1,False,High,Master Protein,6674387397432112128,3776,TUBB4B#10383#tubulin beta-4B chain [Homo sapiens],0,400.997,0,82,28,1310,1,1,1,445,49.8,4.89,5848,2102.48,82,82,626,684,28,26,34,23147.0,22509.1,26396.4,17559.9,16927.3,19976.9,17505.4,16737.1,19791.3,19479.5,18797.2,22156.6,22317.12776748976,21539.129990601145,26133.578031829384,17301.090657650446,16446.177663374845,19976.9,16996.879770090567,16114.872065526146,19700.982043392418,18804.72695104009,18007.399198729978,21941.348501354598
47,47,NP_821133.1,False,High,Master Protein,6480137070562712576,3727,TUBB#203068#tubulin beta chain isoform b [Homo sapiens],0,400.362,0,82,28,1509,0,5,1,444,49.6,4.89,7351,2396.87,82,82,728,781,28,26,2,8036.2,7401.0,6880.1,5966.6,5512.0,5094.9,5854.7,5459.4,4990.8,6835.8,6515.0,5816.4,7748.084078502666,7082.073519618247,6811.596665332748,5878.660329383262,5355.333176615417,5094.9,5684.624858040904,5256.43824524759,4968.024393655945,6599.006775939827,6241.259643974943,5759.89363996637
48,48,NP_004334.1,False,High,Master Protein,8610404900026586112,4223,CALR#811#calreticulin precursor [Homo sapiens],0,392.637,0,77,27,1724,27,27,1,417,48.1,4.44,6129,2200.6,77,69,837,887,27,21,0,26041.2,26690.9,25986.6,24651.4,25077.4,24576.0,28031.4,29212.5,28573.1,27947.1,29155.7,28071.7,25107.56416031254,25540.72640248327,25727.858301963046,24288.071471819552,24364.62848389976,24576.0,27217.106469279006,28126.479510439836,28442.706139771308,26979.007909515774,27930.666738578704,27798.983270243443
49,49,NP_001393.1,False,High,Master Protein,-410325427073227712,2043,EEF1A1#1915#elongation factor 1-alpha 1 [Homo sapiens],0,392.58,0,73,29,1127,17,17,1,462,50.1,9.01,4145,1571.91,73,71,554,573,28,26,16,26600.6,30024.6,25592.8,28411.4,32302.2,27115.9,24557.6,27791.8,23809.4,22177.8,25076.7,21240.1,25646.90840678654,28730.769436174844,25337.979264331614,27992.654121650456,31384.07897998304,27115.9,23844.21804940053,26758.596260444738,23700.745371145276,21409.55740007582,24023.053831783032,21033.752304217334
50,50,NP_004902.1,False,High,Master Protein,-7576515921520274432,370,PDIA4#9601#protein disulfide-isomerase A4 isofrom 2 precursor [Homo sapiens],0,384.678,0,58,45,1082,0,45,1,645,72.9,5.07,3876,1415.05,58,57,524,558,45,41,0,18962.0,18944.2,15603.5,17322.9,17417.5,14315.3,17994.7,18413.7,15060.3,18427.1,18491.1,15043.1,18282.169470218207,18127.849908168086,15448.14008045225,17067.583719349932,16922.444775707372,14315.3,17471.965930447102,17729.141831797555,14991.572047723133,17788.782258246407,17714.16058368458,14896.956195477978
51,51,NP_004125.3,False,High,Master Protein,5561612098835552256,3519,"HSPA9#3313#stress-70 protein, mitochondrial precursor [Homo sapiens]",0,378.739,0,65,39,924,38,38,1,679,73.6,6.16,5979,1408.76,65,63,440,484,39,37,0,12778.5,12202.8,13454.0,13763.1,13170.3,14688.0,14882.6,14352.7,16239.8,14654.2,14040.2,15767.4,12320.361911991527,11676.952674665254,13320.042083020127,13560.250390395664,12795.962361389336,14688.0,14450.27036607846,13819.115874009067,16165.689378074416,14146.57612802853,13450.273776413967,15614.219616739865
52,52,NP_000909.2,False,High,Master Protein,-2586862151232699392,1541,P4HB#5034#protein disulfide-isomerase precursor [Homo sapiens],0,378.499,0,72,37,1236,10,37,1,508,57.1,4.87,6653,1834.17,72,68,593,643,37,33,0,32358.8,26029.6,23951.2,31770.4,25814.2,23934.2,35202.6,28549.4,26245.9,35373.9,28329.6,26136.6,31198.66393064534,24907.9233733624,23712.724241031046,31302.146972922266,25080.486518103357,23934.2,34179.98787771717,27488.03129260937,26126.126359191825,34148.542349310665,27139.2769316888,25882.682778066337
53,53,NP_573566.2,False,High,Master Protein,-1039523901046503168,1899,"LRPPRC#10128#leucine-rich PPR motif-containing protein, mitochondrial precursor [Homo sapiens]",0,375.681,0,51,59,485,0,59,1,1394,157.8,6.13,2015,690.47,49,50,231,254,58,56,0,9029.4,8595.2,9823.8,8889.3,8614.0,9686.1,9532.5,9083.7,10546.5,10381.8,9866.6,11120.4,8705.675615145463,8224.812635565837,9725.987023574633,8758.283656686659,8369.165454166401,9686.1,9255.587213567718,8745.99921023474,10498.370855913363,10022.172759070203,9452.035672025046,11012.365248930959
54,54,XP_024306305.1,False,High,Master Protein,4874670657009698816,3346,PRPF8#10594#pre-mRNA-processing-splicing factor 8 isoform X1 [Homo sapiens],0,372.958,0,30,59,458,59,59,1,2335,273.4,8.84,1753,666.68,29,30,213,245,57,57,0,5085.2,6419.8,8460.5,5168.2,6451.7,8313.5,5203.3,6589.0,8548.8,5181.3,6688.1,8697.6,4902.8840939749825,6143.155733177304,8376.26104083483,5092.027673100019,6268.324211823237,8313.5,5052.147594897131,6344.043594156204,8509.787396106021,5001.818925096847,6407.08651187549,8613.102765107542
55,55,NP_066964.1,False,High,Master Protein,-8484028389043526656,185,XRCC5#7520#X-ray repair cross-complementing protein 5 [Homo sapiens],0,370.837,0,61,35,816,35,35,1,732,82.7,5.81,4883,1323.96,61,60,400,416,35,30,0,12560.7,9608.4,10923.1,12939.8,10028.4,11124.3,12180.8,9458.6,10603.8,12379.7,9504.4,10684.8,12110.370533939977,9194.35146681529,10814.341584438618,12749.08472667072,9743.364156090356,11124.3,11826.955859535867,9106.961714931836,10555.409366323815,11950.865178048258,9105.05420724412,10580.997105479793
56,56,NP_938149.2,False,High,Master Protein,4560107996083379712,3268,GANAB#23193#neutral alpha-glucosidase AB isoform 3 precursor [Homo sapiens],0,367.701,0,62,44,805,0,1,1,966,109.4,6.24,2876,1149.96,62,58,397,408,44,40,46,14409.5,14571.5,14170.6,14754.7,14843.9,14114.2,18305.4,18567.8,17638.9,16400.9,16726.6,15914.0,13892.886878024958,13943.579825850195,14029.507086490637,14537.235538154262,14421.993857104788,14114.2,17773.64030204485,17877.512922685317,17558.404559841678,15832.77015587225,16023.799472127594,15759.395396882062
57,57,NP_001888.2,False,High,Master Protein,4815879602494018560,3329,CSPG4#1464#chondroitin sulfate proteoglycan 4 precursor [Homo sapiens],0,365.524,0,29,48,440,48,48,1,2322,250.4,5.47,2536,719.37,29,29,209,231,48,46,0,4904.8,5581.9,5076.6,4686.8,5419.2,4944.5,4756.0,5402.1,4978.3,4654.1,5294.6,4895.3,4728.951841447435,5341.362813019469,5026.053637480302,4617.7228625604985,5265.170818344388,4944.5,4617.841362468194,5201.268462587833,4955.581437632722,4492.881218862686,5072.137116038332,4847.742131856024
58,58,NP_938148.1,False,High,Master Protein,-3028691531671689216,1431,GANAB#23193#neutral alpha-glucosidase AB isoform 2 precursor [Homo sapiens],0,364.58,0,64,44,806,0,1,1,944,106.8,6.14,2878,1153.02,64,62,395,411,44,41,0,54.4,0.0,12.1,53.2,0.0,9.0,83.5,0.0,2.4,69.6,0.0,9.7,52.44963712582378,0.0,11.979523502641857,52.41590344973511,0.0,9.0,81.07438052272798,0.0,2.389047556458737,67.18904467734748,0.0,9.605764443242176
59,59,NP_004784.2,False,High,Master Protein,8375301801822560256,4169,"LONP1#9361#lon protease homolog, mitochondrial isoform 1 precursor [Homo sapiens]",0,363.901,0,56,39,512,0,39,1,959,106.4,6.39,2204,800.02,56,54,244,268,38,35,0,6718.9,7070.3,6713.0,6986.0,7393.6,7124.2,7861.4,8253.2,7843.5,7953.6,8560.5,8273.4,6478.012258909878,6765.6241596753,6646.160435804528,6883.035742478374,7183.45271673145,7124.2,7633.031557381721,7946.374349869477,7807.70604545171,7678.086002094124,8200.813995740215,8193.023870589672
60,60,XP_006718627.1,False,High,Master Protein,6210925912035565568,3671,NUMA1#4926#nuclear mitotic apparatus protein 1 isoform X3 [Homo sapiens],0,363.784,0,31,44,318,0,44,1,2115,238.1,5.78,1697,530.45,30,28,160,158,41,40,0,5274.1,5272.2,3996.2,5000.5,5023.0,3886.9,5016.8,4979.6,3822.8,5305.6,5217.3,4106.3,5085.011602303442,5045.008513732107,3956.4108943187925,4926.7993458721885,4880.231956846742,3886.9,4871.06529588529,4794.475562522421,3805.3545828460256,5121.813152875501,4998.085025404524,4066.4072714727167
61,61,NP_005304.3,False,High,Master Protein,1547781430018805504,2537,PDIA3#2923#protein disulfide-isomerase A3 precursor [Homo sapiens],0,359.278,0,63,39,1151,39,39,1,505,56.7,6.35,5767,1570.94,62,62,559,592,38,33,0,21614.7,18837.8,24467.0,20182.0,17506.3,22756.9,22094.0,19655.5,25273.4,21903.7,19363.0,25165.7,20839.764183521016,18026.03493417979,24223.38855695358,19884.544425235978,17008.720825432232,22756.9,21452.183991247326,18924.775969788625,25158.064380585107,21144.9522686669,18549.426014779252,24921.215077247387
62,62,NP_004437.2,False,High,Master Protein,1156142612126302720,2441,EPRS1#2058#bifunctional glutamate/proline--tRNA ligase [Homo sapiens],0,359.252,0,39,49,495,19,49,1,1512,170.5,7.33,2006,754.29,39,37,238,257,49,45,0,7560.6,8605.7,7106.4,7786.6,8911.9,7307.4,7449.3,8549.8,6898.1,6866.3,8042.2,6498.8,7289.5354127482215,8234.86016589363,7035.64345613009,7671.8359737163055,8658.598283142042,7307.4,7232.902788358772,8231.947779832555,6866.62039550334,6628.450250978033,7704.291375099813,6435.664119973429
63,63,NP_000692.2,False,High,Master Protein,-2084755087725056256,1665,ATP1A1#476#sodium/potassium-transporting ATPase subunit alpha-1 isoform a [Homo sapiens],0,356.985,0,49,39,1242,0,36,1,1023,112.8,5.49,8020,2047.01,49,48,587,655,39,38,3,13428.0,15655.1,14341.8,13066.6,15368.3,13959.6,13345.4,15984.3,14206.1,13839.7,16162.5,14608.0,12946.575869955179,14980.48495567837,14199.002493404048,12874.01586496821,14931.488907507022,13959.6,12957.72500392831,15390.058585835635,14141.270204920194,13360.290540532846,15483.401227282427,14466.083194523888
64,64,NP_001152759.1,False,High,Master Protein,8846805291568529408,4278,TPI1#7167#triosephosphate isomerase isoform 2 [Homo sapiens],0,356.179,0,80,23,1133,0,23,1,286,30.8,5.92,6128,1929.94,80,79,538,595,23,21,0,24364.0,21358.8,22405.0,24001.3,20980.0,22064.1,22851.1,19952.6,20858.6,24370.8,20856.0,21882.8,23490.49556863181,20438.39912050023,22181.91934518106,23647.55307270916,20383.688324635605,22064.1,22187.290739675558,19210.830811467757,20763.411400479257,23526.59152331466,19979.694725209734,21670.20846995669
65,65,NP_002511.1,False,High,Master Protein,4751284344252295168,3308,NPM1#4869#nucleophosmin isoform 1 [Homo sapiens],0,353.547,0,69,23,1981,0,23,1,294,32.6,4.78,6657,2619.0,69,69,1017,964,23,19,0,38142.7,36961.7,32207.0,42404.5,40872.8,35887.2,43473.3,41374.7,36381.5,43406.0,41653.9,36799.9,36775.19805145512,35368.93349683472,31886.323425585644,41779.51462094535,39711.07798642355,35887.2,42210.429542260004,39836.53065641746,36215.472364709814,41902.40909863427,39903.730634561456,36442.38875617194
66,66,NP_002256.2,False,High,Master Protein,-7238306351176714240,434,KPNB1#3837#importin subunit beta-1 isoform 1 [Homo sapiens],0,350.959,0,62,34,508,6,34,1,876,97.1,4.78,2799,865.18,61,62,228,280,33,34,0,6505.0,7408.4,9721.7,6499.3,7449.9,9734.9,6043.4,6811.5,9233.0,5636.6,6380.8,8581.8,6271.781057049332,7089.154636230214,9624.903606250691,6403.509046820741,7238.152509518722,9734.9,5867.843248515619,6558.271807800118,9190.865036993135,5441.347259027829,6112.698317156611,8498.427762785124
67,67,NP_005900.2,False,High,Master Protein,-6017876226430429184,729,MAP1B#4131#microtubule-associated protein 1B isoform 1 [Homo sapiens],0,347.486,0,30,52,360,6,52,1,2468,270.5,4.81,1330,483.1,29,27,178,182,51,48,0,6874.0,7086.8,4612.1,6407.6,6486.9,4317.3,6326.1,6688.8,4285.3,6224.5,6389.0,4148.7,6627.551573582953,6781.413135904688,4566.178541035911,6313.160581663961,6302.52372702949,4317.3,6142.331001494964,6440.133372680531,4265.743955705261,6008.8823073872045,6120.5537782587735,4108.39535522462
68,68,NP_001596.2,False,High,Master Protein,3490068427957957632,2995,"AARS1#16#alanine--tRNA ligase, cytoplasmic [Homo sapiens]",0,347.426,0,61,43,542,43,43,1,968,106.7,5.53,3454,893.18,59,57,260,282,42,38,0,7510.6,7671.8,6873.4,8083.3,8305.4,7485.9,8068.4,8250.3,7444.9,7063.4,7193.0,6468.2,7241.328025684045,7341.204111310264,6804.963375459383,7964.163014196312,8069.336749829768,7485.9,7834.018345024891,7943.5821619163635,7410.925063783188,6818.722674913452,6890.772159495283,6405.361399152479
69,69,NP_002145.3,False,High,Master Protein,-613397371873318528,2000,HSPA4#3308#heat shock 70 kDa protein 4 [Homo sapiens],0,347.09,0,64,45,476,42,43,1,840,94.3,5.19,2399,641.1,63,57,231,245,44,38,2,8359.2,8943.2,7419.6,8227.9,8757.7,7392.3,7868.7,8431.5,7030.5,7635.4,8258.0,6704.5,8059.503798937246,8557.816497858386,7345.725006628226,8106.631804399915,8508.781088687381,7392.3,7640.1194972358035,8118.04576781424,6998.416185701313,7370.908501859469,7911.0241197152845,6639.365743269812
70,70,NP_004037.1,False,High,Master Protein,2399497510241032192,2732,"ATP5F1A#498#ATP synthase subunit alpha, mitochondrial isoform a precursor [Homo sapiens]",0,345.788,0,61,34,1673,0,34,1,553,59.7,9.13,11319,2590.07,61,61,771,902,34,34,0,21845.4,21373.3,18019.4,22120.1,21896.4,18675.6,23192.4,23499.9,20028.9,23731.8,23836.6,20252.6,21062.193067435124,20452.274281429087,17839.98560359543,21794.07943418206,21274.041612562014,18675.6,22518.676201620554,22626.254372182633,19937.497751481835,22909.72658726832,22835.059037540002,20055.845872495513
71,71,NP_000691.1,False,High,Master Protein,4388597074234396672,3223,ANXA1#301#annexin A1 [Homo sapiens],0,343.402,0,73,27,1777,1,27,1,346,38.7,7.02,13413,2881.23,73,71,850,927,27,25,0,34332.2,32293.7,31376.8,33367.4,31480.7,30823.8,31717.7,29868.0,28995.5,29850.0,28154.7,27346.9,33101.31308329425,30902.088585393296,31064.389507247357,32875.609337757356,30585.9283623144,30823.8,30796.321905457833,28757.61027018629,28863.17850970805,28815.9911439486,26971.725694278026,27081.224706484485
72,72,NP_055205.2,False,High,Master Protein,7742249596596208640,4025,SND1#27044#staphylococcal nuclease domain-containing protein 1 [Homo sapiens],0,343.08,0,50,39,487,16,39,1,910,101.9,7.17,2437,754.63,50,50,236,251,39,36,0,8233.7,9737.9,6898.5,8025.7,9261.5,6604.3,7660.1,9035.4,6225.4,7581.5,8969.8,6222.1,7938.503257406163,9318.27100752473,6829.81346140288,7907.411960837201,8998.261650076865,6604.3,7437.579188528725,8699.494838463948,6196.9902741575925,7318.8756066280175,8592.916462705516,6161.65226209249
73,73,NP_001275905.1,False,High,Master Protein,2214005141303334400,2703,XRCC6#2547#X-ray repair cross-complementing protein 6 isoform 1 [Homo sapiens],0,338.87,0,59,39,688,0,39,1,609,69.8,6.64,2998,1123.91,59,49,322,366,39,32,0,13435.4,13559.3,15055.4,13970.2,14259.5,15636.5,13457.8,13604.9,15189.6,13235.5,13396.3,14706.6,12953.710563240676,12974.997902251005,14905.497367080514,13764.298014539276,13854.204178510076,15636.5,13066.859858667885,13099.116511479091,15120.281984827348,12777.020126825182,12833.428483281892,14563.725294946948
74,74,NP_001099008.1,False,High,Master Protein,8447085133855285248,4188,MYBBP1A#10514#myb-binding protein 1A isoform 1 [Homo sapiens],0,335.286,0,38,37,486,0,37,1,1332,149.3,9.28,2666,706.95,38,36,249,237,37,32,0,5216.3,5800.6,6365.0,5482.9,5871.2,6696.5,5518.2,5893.2,6537.2,5390.2,5735.6,6511.0,5029.283862857254,5550.638516132632,6301.62537969549,5402.089417754749,5704.323684061037,6696.5,5357.899959287634,5674.111050095817,6507.367369200857,5203.482595112621,5494.607646044925,6447.745596902042
75,75,NP_006635.2,False,High,Master Protein,5926930809007955968,3601,HSPH1#10808#heat shock protein 105 kDa isoform 1 [Homo sapiens],0,334.554,0,58,40,767,0,38,1,858,96.8,5.39,4138,1142.71,57,53,369,398,39,35,0,12806.6,11568.7,11963.8,12456.9,11293.7,11867.3,11738.4,10409.2,11009.0,11071.9,9746.9,10466.4,12347.454463521595,11070.17753363162,11844.679609992285,12273.302024116641,10972.700706956013,11867.3,11397.40728536515,10022.221669493209,10958.760228772599,10688.367582803501,9337.365099594685,10364.718862757723
76,76,NP_005372.2,False,High,Master Protein,3602445909866352640,3023,NCL#4691#nucleolin [Homo sapiens],0,331.565,0,44,46,1393,46,46,1,710,76.6,4.7,5660,1675.31,44,43,671,722,46,38,0,33565.2,31611.3,30030.1,35616.8,33661.5,32571.9,35260.9,33846.4,32110.7,35532.5,33881.2,32360.1,32361.81176572978,30249.094804851815,29731.098242701257,35091.85620279184,32704.743781683574,32571.9,34236.59430148334,32588.107012482702,31964.16223799149,34301.648419509336,32457.615694465665,32045.72143915063
77,77,NP_004030.1,False,High,Master Protein,361994698644895616,2232,ANXA2#302#annexin A2 isoform 2 [Homo sapiens],0,329.371,0,78,32,1609,1,32,1,339,38.6,7.75,12059,2648.59,78,75,796,813,32,28,0,30961.4,31073.3,26393.6,32972.8,33025.1,28247.0,31841.7,31657.5,26640.8,31716.3,31596.1,27101.9,29851.36387697574,29734.27848900874,26130.805910688272,32486.825211793723,32086.432091988718,28247.0,30916.719787910748,30480.582801942634,26519.224225877468,30617.642208335576,30268.528601227426,26838.604882918058
78,78,NP_003283.2,False,High,Master Protein,7449371538365957120,3957,TPR#7175#nucleoprotein TPR [Homo sapiens],0,326.889,0,24,52,345,51,52,1,2363,267.1,5.02,1616,465.73,24,22,173,172,51,45,0,5183.3,6533.9,4461.3,5338.5,6821.9,4638.4,5657.6,7301.7,5021.4,5574.7,7131.8,4876.0,4997.466987394897,6252.338896072647,4416.880016721993,5259.817679819754,6628.002067770812,4638.4,5493.250481980668,7030.247854219206,4998.484750000793,5381.591485097831,6832.143596147429,4828.629631468953
79,79,NP_114032.2,False,High,Master Protein,-165801227635855456,2102,HNRNPU#3192#heterogeneous nuclear ribonucleoprotein U isoform a [Homo sapiens],0,326.427,0,51,40,1083,2,2,1,825,90.5,6.0,3602,1466.31,51,45,530,553,40,33,40,24123.2,23981.9,21427.6,26021.2,25811.9,23327.8,26577.6,26186.5,23642.4,26623.8,26401.8,23902.6,23258.328792530738,22948.46357791283,21214.251058281705,25637.682459515927,25078.251890689313,23327.8,25805.538392585087,25212.975804882593,23534.507478675023,25701.547236792587,25292.477186231412,23670.38610113819
80,80,XP_006720201.1,False,High,Master Protein,8732346175470674944,4249,KTN1#3895#kinectin isoform X1 [Homo sapiens],0,326.088,0,38,43,409,0,43,1,1357,156.2,5.64,2138,662.82,38,36,202,207,43,39,0,5415.9,6307.6,5803.1,5248.6,6081.9,5680.7,5239.3,6039.6,5775.4,5652.3,6523.5,6184.8,5221.727752017445,6035.790694817465,5745.320069271154,5171.242685080446,5909.03498673028,5680.7,5087.1018188350745,5815.068400556353,5749.04385732158,5456.503408473724,6249.402499995478,6124.714631810743
81,81,NP_005564.1,False,High,Master Protein,-2847148615950550528,1486,LMNB1#4001#lamin-B1 isoform 1 [Homo sapiens],0,324.508,0,58,40,601,20,35,1,586,66.4,5.16,2674,830.01,58,53,322,279,40,32,3,11148.2,11824.9,10818.4,12058.2,12484.7,11302.5,12818.0,13540.8,12207.6,12753.6,13816.4,12333.2,10748.511849376997,11315.337273629753,10710.684054626501,11880.47832664654,12129.849076576651,11302.5,12445.645623237451,13037.399529481001,12151.890395927367,12311.813221221537,13235.87716730858,12213.382889834476
82,82,NP_004492.2,False,High,Master Protein,-4137090159380989952,1172,HNRNPU#3192#heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens],0,322.883,0,50,39,1083,1,1,1,806,88.9,5.78,3574,1465.98,50,47,529,554,39,33,0,54.2,312.2,0.0,75.5,312.0,0.0,81.0,307.8,0.0,75.2,275.0,0.0,52.25680757756707,298.7465684130275,0.0,74.3872313995301,303.1320666008727,0.0,78.64700386037084,296.35705240268317,0.0,72.59505976632947,263.44534184084563,0.0
83,83,NP_006363.4,False,High,Master Protein,-515522588376760000,2018,SYNCRIP#10492#heterogeneous nuclear ribonucleoprotein Q isoform 1 [Homo sapiens],0,321.366,0,49,32,757,0,1,1,623,69.6,8.59,4204,1245.87,49,47,352,405,32,28,34,15377.9,11467.4,11192.4,15865.2,11941.3,11664.7,15570.3,11532.6,11415.5,15492.8,11617.6,11426.2,14826.567550683923,10973.242788659678,11080.960235617249,15631.36825960033,11601.89406058013,11664.7,15117.993138359656,11103.857513122755,11363.405158647798,14956.12688760358,11129.464012255303,11315.194400141625
84,84,NP_005337.2,False,High,Master Protein,2749950876556130816,2815,HSPA1B#3304#heat shock 70 kDa protein 1B [Homo sapiens],0,318.307,0,71,36,842,17,29,1,641,70.0,5.66,3813,1095.92,71,68,396,446,36,34,0,4162.1,5041.8,5582.3,4905.3,6038.5,6844.9,4059.5,5109.3,5661.7,3820.6,4657.5,5095.5,4012.8793139961613,4824.536991110834,5526.718516429557,4833.002466014768,5866.868539004389,6844.9,3941.5742243354994,4919.353761666762,5635.862729334347,3688.253794457957,4461.806107722686,5045.997187684588
85,85,NP_000179.2,False,High,Master Protein,-7233412111740596224,436,HK1#3098#hexokinase-1 isoform HKI [Homo sapiens],0,316.989,0,53,43,467,0,40,1,917,102.4,6.8,2675,679.87,53,51,227,240,43,41,3,8365.1,8300.3,8564.9,7754.3,7785.7,8004.2,8402.7,8495.7,8783.8,9164.2,9376.8,9699.6,8065.192270610818,7942.620569502409,8479.62155766754,7640.012032336109,7564.408111969276,8004.2,8158.607152315286,8179.859032155541,8743.714969342605,8846.75062115155,8982.815568629967,9605.368329244517
86,86,NP_001060.1,False,High,Master Protein,-7048585715635486720,483,TUBB2A#7280#tubulin beta-2A chain isoform 1 [Homo sapiens],0,310.568,0,62,23,1214,1,3,1,445,49.9,4.89,6059,1929.73,62,55,587,627,23,21,0,175.3,47.2,135.1,140.9,34.2,112.3,124.7,50.2,85.9,150.7,40.6,111.1,169.015099047002,45.16604109255253,133.75484505842272,138.82332323435483,33.227938069711044,112.3,121.0775479183734,48.33373629179563,85.50799379158565,145.4797274838544,38.89411228632121,110.02066284991812
87,87,NP_000282.1,False,High,Master Protein,-1119286615561917824,1881,PGK1#5230#phosphoglycerate kinase 1 [Homo sapiens],0,310.179,0,76,28,910,23,28,1,417,44.6,8.1,4162,1266.98,76,72,422,488,28,26,0,19506.7,26247.5,18959.5,18820.6,25831.2,18404.6,18429.4,25215.8,17804.7,19678.5,27024.1,19290.6,18807.340744895344,25116.43355035535,18770.725276722173,18543.209632821137,25097.00332942456,18404.6,17894.03818449776,24278.36309933586,17723.4479285337,18996.833558666418,25888.630045240712,19103.191708124486
88,88,NP_006422.1,False,High,Master Protein,3002712347046388224,2869,CCT2#10576#T-complex protein 1 subunit beta isoform 1 [Homo sapiens],0,310.06,0,72,31,602,2,31,1,535,57.5,6.46,5361,979.8,72,70,292,310,30,28,0,9849.3,8518.4,8790.3,9746.0,8495.0,8681.5,9158.9,8054.6,8194.5,8847.0,7753.1,7889.8,9496.180348223825,8151.322128025412,8702.77730952667,9602.357049269143,8253.547774917992,8681.5,8892.840045145069,7755.15761625293,8157.104250583801,8540.538480754214,7427.338472095492,7813.150546834239
89,89,XP_016865667.1,False,High,Master Protein,2468498205363218432,2751,SYNCRIP#10492#heterogeneous nuclear ribonucleoprotein Q isoform X4 [Homo sapiens],0,309.639,0,52,31,753,0,1,1,562,62.6,7.56,4200,1239.02,52,51,349,404,31,28,0,86.1,9.4,7.5,94.5,7.1,5.7,88.9,2.1,9.1,85.5,7.2,10.3,83.01312052451152,8.994931912499869,7.42532448510859,93.10719691729264,6.898197669442935,5.7,86.31751411341936,2.0219292074257136,9.058471984906046,82.53826609070704,6.897478040923959,10.199935439731384
90,90,NP_004238.3,False,High,Master Protein,8428260618384848896,4184,EFTUD2#9343#116 kDa U5 small nuclear ribonucleoprotein component isoform a [Homo sapiens],0,309.233,0,59,43,385,0,42,1,972,109.4,5.0,2416,645.05,59,59,184,201,43,42,0,4395.6,3658.8,5400.9,4425.6,3719.2,5365.5,4638.5,3827.4,5609.2,4564.0,3788.1,5567.1,4238.007811585864,3501.133710793034,5347.1246682163965,4360.372599758416,3613.4896862242485,5365.5,4503.75465933741,3685.110404048179,5583.602314036812,4405.902297520315,3628.9356342811175,5513.015590925105
