Accession,Description,Abundance: F4: 127N  Sample  Pre-term_RDS,Abundance: F5: 127N  Sample  Pre-term_RDS,Abundance: F4: 127C  Sample  Pre-term_Healthy,Abundance: F5: 127C  Sample  Pre-term_Healthy,Abundance: F4: 128N  Sample  Term_RDS,Abundance: F5: 128N  Sample  Term_RDS,Abundance: F4: 128C  Sample  Term_Healthy,Abundance: F5: 128C  Sample  Term_Healthy,normalized Abundance: F4: 127C  Sample  Pre-term_Healthy,normalized Abundance: F4: 127N  Sample  Pre-term_RDS,normalized Abundance: F4: 128C  Sample  Term_Healthy,normalized Abundance: F4: 128N  Sample  Term_RDS,normalized Abundance: F5: 127C  Sample  Pre-term_Healthy,normalized Abundance: F5: 127N  Sample  Pre-term_RDS,normalized Abundance: F5: 128C  Sample  Term_Healthy,normalized Abundance: F5: 128N  Sample  Term_RDS
NP_001265543.1,uromodulin isoform b preproprotein [Homo sapiens],27832.2,30699.3,55717.7,61219.3,36670.3,40168.0,26195.5,28580.3,55717.7,21910.093243656374,22280.23534269199,30484.59160613398,56219.57828102711,23943.873239436623,24288.538778877886,32711.132194813403
NP_001266.1,chromogranin-A isoform 1 preproprotein [Homo sapiens],0.0,54.8,0.0,44.3,0.0,47.6,0.0,18.9,0.0,0.0,0.0,0.0,40.68206134094151,42.74117825230956,16.06188118811881,38.76344086021505
NP_001269514.1,matrix remodeling-associated protein 8 isoform 1 precursor [Homo sapiens],85.9,0.0,76.6,0.0,72.5,0.0,133.4,0.0,76.6,67.62228676245796,113.4616019818332,60.27037933817595,0.0,0.0,0.0,0.0
NP_001274272.1,14 kDa phosphohistidine phosphatase isoform 5 [Homo sapiens],48.8,54.9,68.0,66.7,55.9,54.3,79.7,49.9,68.0,38.41638642616936,67.78777869529314,46.47054075867635,61.25267475035664,42.81917310313494,42.40676567656766,44.219639468690694
NP_001275696.1,armadillo repeat-containing protein 5 isoform c [Homo sapiens],235.3,0.0,275.3,0.0,228.4,0.0,143.5,0.0,275.3,185.2331091409355,122.05202312138728,189.8724778046812,0.0,0.0,0.0,0.0
NP_001276054.1,interferon alpha/beta receptor 2 isoform a [Homo sapiens],221.9,308.4,162.1,249.5,145.2,231.1,189.9,291.1,162.1,174.68434729440537,161.51692815854665,120.70702179176754,229.12357346647647,240.53611994547933,247.38696369636966,188.19813409234658
NP_001287831.1,complement decay-accelerating factor isoform 5 precursor [Homo sapiens],3247.1,2771.2,3229.0,2804.8,3748.0,3167.1,3469.4,2927.7,3229.0,2556.1854173035767,2950.852188274154,3115.770782889427,2575.7346647646223,2161.3933060729973,2488.0618811881186,2579.1532258064512
NP_001288196.1,metallothionein-1G isoform 2 [Homo sapiens],843.8,1191.7,832.9,1159.4,1081.2,1458.0,1491.1,2083.0,832.9,664.2571079180678,1268.23534269199,898.818401937046,1064.712910128388,929.4646372860823,1770.2062706270628,1187.333965844402
NP_001289855.1,bone marrow proteoglycan isoform 1 preproprotein [Homo sapiens],119.8,187.8,87.6,125.1,138.5,228.6,112.6,143.2,87.6,94.3090797921125,95.77043765483072,115.13720742534302,114.88320256776035,146.4743298500682,121.6963696369637,186.16223908918403
NP_001290343.1,trypsin-2 isoform 1 preproprotein [Homo sapiens],2152.5,1554.8,559.6,394.2,1903.8,1386.1,839.7,643.3,559.6,1694.4932742280648,714.195706028076,1582.6585956416466,362.00606276747504,1212.6639406330457,546.6988448844884,1128.781625553447
NP_001291465.1,ephrin type-A receptor 4 isoform a precursor [Homo sapiens],0.0,25.5,0.0,21.0,0.0,29.3,0.0,31.0,0.0,0.0,0.0,0.0,19.284950071326676,19.888686960472516,26.344884488448844,23.860689437065144
NP_001291700.1,G-protein coupled receptor family C group 5 member B isoform 2 [Homo sapiens],89.5,128.1,96.1,166.9,91.3,145.6,99.5,185.5,96.1,70.45628248242127,84.62840627580512,75.89911218724778,153.26943651925822,99.91140390731486,157.6443894389439,118.5705249841872
NP_001298091.1,thy-1 membrane glycoprotein isoform 1 preproprotein [Homo sapiens],688.1,838.8,483.2,499.6,662.2,771.5,356.4,349.4,483.2,541.6867930296545,303.1312964492155,550.497175141243,458.7981455064195,654.2208087233076,296.9323432343234,628.2771979759644
NP_001304947.1,apolipoprotein A-I isoform 1 preproprotein [Homo sapiens],3972.3,4486.4,897.9,976.0,1507.3,1442.2,1695.7,1744.6,897.9,3127.07811066952,1442.2551610239473,1253.0419693301048,896.2910128388017,3499.160987429956,1482.622112211221,1174.4671094244147
NP_001305754.1,beta-hexosaminidase subunit alpha isoform 1 precursor [Homo sapiens],348.0,229.9,191.9,138.5,314.2,214.7,172.4,158.4,191.9,273.9529195964537,146.63253509496283,261.19935431799837,127.18883737517832,179.31016204755417,134.6138613861386,174.84266287160023
NP_001305968.1,"fatty acid-binding protein, brain isoform 2 [Homo sapiens]",0.0,39.4,0.0,37.0,0.0,32.0,0.0,33.5,0.0,0.0,0.0,0.0,33.97824536376605,30.729971225200668,28.46947194719472,26.059456040480704
NP_001307925.1,"fatty acid-binding protein, heart isoform 1 [Homo sapiens]",561.5,1142.6,394.5,866.6,910.8,1515.8,637.1,1358.9,394.5,442.0246102109447,541.8769611890999,757.1622276029055,795.8256062767475,891.1691655308193,1154.8407590759077,1234.4038583175204
NP_001308349.1,rho GDP-dissociation inhibitor 2 [Homo sapiens],103.3,220.0,109.5,233.5,103.1,207.0,103.3,177.7,109.5,81.31993274228064,87.86044591246903,85.70863599677159,214.4302781740371,171.5886718158413,151.01567656765675,168.57210626185955
NP_001311332.1,peptidase inhibitor 15 preproprotein [Homo sapiens],3358.2,3489.0,5357.4,5359.9,4039.0,4172.3,4143.8,4335.4,5357.4,2643.6456741057777,3524.4541701073495,3357.683615819209,4922.162089871612,2721.2403452975923,3684.3745874587457,3397.7458886780514
NP_001314.1,cystatin-M precursor [Homo sapiens],15828.3,19478.6,5446.4,6008.0,12766.8,15415.6,9662.7,12047.6,5446.4,12460.3706817487,8218.48142031379,10613.239709443098,5517.332382310985,15192.305012872937,10238.47194719472,12553.817204301073
NP_001316719.1,glutathione peroxidase 3 isoform 2 precursor [Homo sapiens],688.3,1002.6,176.5,272.4,702.3,988.3,323.1,462.4,176.5,541.8442372363191,274.80842279108174,583.8329297820823,250.15335235378032,781.9763743752841,392.963696369637,804.8300126502212
NP_001317135.1,migration and invasion enhancer 1 isoform 2 [Homo sapiens],66.6,70.7,60.2,71.4,73.0,75.7,78.6,92.6,60.2,52.428920819321306,66.85218827415359,60.68603712671509,65.56883024251071,55.14235953354537,78.6947194719472,61.64690069576217
NP_001327.2,cathepsin Z preproprotein [Homo sapiens],940.8,1384.8,806.5,1040.3,1126.7,1396.7,745.0,644.4,806.5,740.6175481504126,633.6498761354253,936.6432606941082,955.3396932952925,1080.0726942298957,547.6336633663366,1137.4138203668563
NP_001335027.1,GDNF family receptor alpha-1 isoform a preproprotein [Homo sapiens],669.3,530.5,436.0,345.1,714.8,547.1,333.6,293.4,436.0,526.8870376031794,283.73905862923203,594.2243744955609,316.91601283880175,413.7626836286537,249.34158415841583,445.5352624920936
NP_001338930.1,neurotrimin isoform 5 precursor [Homo sapiens],51.6,0.0,69.2,0.0,63.3,0.0,61.0,0.0,69.2,40.620605319474166,51.88274153592073,52.62227602905569,0.0,0.0,0.0,0.0
NP_001343945.1,lysosomal acid phosphatase isoform 1x precursor [Homo sapiens],83.7,68.7,68.3,69.3,71.2,89.2,58.9,33.4,68.3,65.89040048914705,50.096614368290666,59.189669087974174,63.64033523537803,53.58246251703772,28.384488448844884,72.64073371283996
NP_001350162.1,phosphatidylethanolamine-binding protein 4 precursor [Homo sapiens],358.9,542.4,464.0,797.3,627.3,1129.0,569.2,1063.5,464.0,282.5336288596759,484.1255161023947,521.4842615012107,732.1852710413694,423.0440708768742,903.799504950495,919.4101834282098
NP_001350475.1,N-acetylmuramoyl-L-alanine amidase isoform 2 precursor [Homo sapiens],424.1,542.6,201.5,260.0,482.5,600.8,391.7,507.1,201.5,333.86044023234484,333.15524360033027,401.10976594027443,238.76604850213982,423.200060578525,430.9513201320132,489.2662871600252
NP_001350617.1,NPC intracellular cholesterol transporter 2 isoform 1 precursor [Homo sapiens],4425.2,4949.9,2278.4,2313.8,4823.4,5419.3,2190.5,2258.9,2278.4,3483.610516661571,1863.1007431874484,4009.767554479419,2124.834165477889,3860.667121005604,1919.6922442244227,4413.250316255534
NP_001352447.1,fibronectin isoform 13 precursor [Homo sapiens],1092.3,1819.8,1439.8,2463.4,1391.6,2200.5,1508.6,2491.8,1439.8,859.8815346988688,1283.1197357555739,1156.8587570621469,2262.216476462197,1419.350295320309,2117.6188118811883,1791.994781783681
NP_001354906.1,"signal peptide, CUB and EGF-like domain-containing protein 2 isoform 4 precursor [Homo sapiens]",361.5,388.4,496.5,456.9,365.1,385.8,419.9,520.3,496.5,284.5804035463161,357.14037985136247,303.5133171912833,419.5854136947218,302.9320006057853,442.1691419141914,314.1793168880455
NP_001355229.1,general transcription factor II-I repeat domain-containing protein 2A isoform 3 [Homo sapiens],146.2,350.2,155.3,379.7,53.7,197.0,268.5,628.7,155.3,115.09171507184347,228.36911643270025,44.64164648910412,348.69026390870187,273.1379675904892,534.2912541254126,160.42852624920934
NP_001356197.1,aggrecan core protein isoform 3 precursor [Homo sapiens],46.6,0.0,65.3,0.0,36.2,0.0,49.4,0.0,65.3,36.684500152858455,42.016515276630884,30.093623890234063,0.0,0.0,0.0,0.0
NP_001357587.1,biotinidase isoform 1 precursor [Homo sapiens],33.2,87.1,30.2,67.3,25.6,67.2,28.6,47.0,30.2,26.135738306328342,24.325350949628408,21.2816787732042,61.80367332382311,67.93351506890808,39.942244224422446,54.72485768500948
NP_001358649.1,mucin-1 isoform 22 precursor [Homo sapiens],229.8,376.4,337.9,443.1,228.7,319.6,418.4,606.8,337.9,180.9033934576582,355.8645747316267,190.1218724778047,406.9124465049929,293.5726185067394,515.6798679867986,260.26881720430106
NP_001362207.1,complement factor I isoform 4 preproprotein [Homo sapiens],141.1,69.2,108.0,59.5,97.8,62.9,144.2,77.4,108.0,111.07688780189544,122.64739884393063,81.30266343825666,54.64069186875892,53.97243677116463,65.77722772277228,51.22311827956988
NP_001364459.1,deleted in malignant brain tumors 1 protein isoform e precursor [Homo sapiens],0.0,51.6,0.0,65.9,0.0,62.3,0.0,80.8,0.0,0.0,0.0,0.0,60.51800998573467,40.24534302589733,68.66666666666667,50.73450347881087
NP_001366295.1,"keratin, type I cytoskeletal 10 isoform 2 [Homo sapiens]",17328.5,16532.7,17385.3,18314.4,11288.7,10730.8,11492.2,10602.4,17385.3,13641.359675940079,9774.538398018167,9384.472154963682,16818.68045649073,12894.654702408,9010.290429042903,8738.712839974698
NP_001366539.1,serine protease inhibitor Kazal-type 1 precursor [Homo sapiens],5874.2,6318.2,2975.6,3368.8,4938.0,5410.0,2710.7,2896.7,2975.6,4624.293793946805,2305.5499587118084,4105.036319612591,3093.67332382311,4927.870664849312,2461.71699669967,4405.676786843769
NP_001368852.1,aminopeptidase N [Homo sapiens],4032.5,4520.7,2680.1,3053.4,3631.6,4114.2,2153.8,2187.5,2680.1,3174.4688168755733,1831.8860445912471,3019.005649717514,2804.031740370899,3525.9132212630625,1859.0140264026402,3350.4316888045532
NP_001369656.1,junctional adhesion molecule A isoform 7 precursor [Homo sapiens],437.0,473.5,238.3,279.5,403.6,482.0,174.6,206.8,238.3,344.0155915622134,148.50371593724194,335.51896690879744,256.6735021398003,369.3056186581857,175.74587458745876,392.5205566097406
NP_001371088.1,fibulin-5 isoform 3 precursor [Homo sapiens],1128.5,860.3,1137.1,859.6,1297.4,1000.5,1101.4,812.7,1137.1,888.3789361051666,936.7811725846409,1078.5488297013721,789.3972895863053,670.9897016507648,690.660891089109,814.7651802656545
NP_001371408.1,angiotensinogen precursor [Homo sapiens],25541.5,23466.0,6581.4,6018.5,16417.8,15345.8,5960.2,5293.8,6581.4,20106.806022623052,5069.3691164327,13648.372881355932,5526.974857346648,18302.271694684237,4498.8564356435645,12496.975015812774
NP_001371601.1,alpha-1-antichymotrypsin precursor [Homo sapiens],10670.2,10725.7,5376.5,5422.9,8101.8,8393.8,6697.9,7079.5,5376.5,8399.805869764597,5696.810074318744,6735.152542372882,4980.016940085592,8365.493714978042,6016.406765676567,6835.558191018341
NP_001372655.1,resistin isoform b precursor [Homo sapiens],1481.6,1349.1,738.2,651.1,814.4,718.9,870.6,753.3,738.2,1166.3466829715683,740.4772914946326,677.0234059725585,597.9252853067047,1052.228532485234,640.1806930693069,585.4419671094244
NP_001373231.1,antithrombin-III isoform 3 precursor [Homo sapiens],2933.9,2998.8,1372.1,1518.4,2381.0,2524.5,1549.1,1754.4,1372.1,2309.6277896667684,1317.5664739884392,1979.362389023406,1394.3937232524966,2338.909586551568,1490.950495049505,2055.846774193548
NP_001373983.1,extracellular sulfatase Sulf-2 isoform e precursor [Homo sapiens],541.7,642.5,735.0,893.7,658.8,807.5,653.8,807.5,735.0,426.43763375114645,556.0809248554913,547.6707021791767,820.7123751783167,501.116916553082,686.2417491749175,657.5940860215053
NP_001374068.1,deoxyribonuclease-1 isoform 2 precursor [Homo sapiens],89.8,104.0,67.8,106.7,81.2,103.5,74.3,97.6,67.8,70.69244879241822,63.194880264244425,67.50282485875707,97.98591298145507,81.11464485839771,82.94389438943894,84.28605313092977
NP_001393.1,elongation factor 1-alpha 1 [Homo sapiens],0.0,181.1,0.0,191.7,0.0,201.5,0.0,136.7,0.0,0.0,0.0,0.0,176.04404422253924,141.24867484476755,116.17244224422441,164.09313725490193
NP_001395.1,elongation factor 1-gamma [Homo sapiens],0.0,35.1,0.0,21.3,0.0,29.9,0.0,19.6,0.0,0.0,0.0,0.0,19.560449358059916,27.376192639709227,16.65676567656766,24.349304237824157
NP_001433.1,"fatty acid-binding protein, adipocyte [Homo sapiens]",2227.8,2100.1,366.6,392.8,1231.1,1168.3,401.5,425.8,366.6,1753.7710180372976,341.4905037159372,1023.4326069410814,360.72039942938665,1637.9698621838559,361.85973597359737,951.4144528779252
NP_001434.1,"fatty acid-binding protein, liver [Homo sapiens]",6586.5,6105.4,4870.2,4593.3,9509.6,9054.7,6680.4,6361.3,4870.2,5185.03133598288,5681.92568125516,7905.478611783697,4218.169579172611,4761.897622292898,5406.055280528053,7373.7673940543955
NP_001435.1,fatty acid-binding protein 5 [Homo sapiens],102.3,0.0,39.6,0.0,90.7,0.0,39.4,0.0,39.6,80.5327117089575,33.51114781172584,75.40032284100081,0.0,0.0,0.0,0.0
NP_001449.3,filamin-C isoform a [Homo sapiens],70.4,0.0,37.7,0.0,88.8,0.0,40.6,0.0,37.7,55.42036074594925,34.53179190751445,73.82082324455206,0.0,0.0,0.0,0.0
NP_001454.2,secreted frizzled-related protein 3 precursor [Homo sapiens],624.0,562.6,323.7,329.1,596.3,548.9,381.2,305.2,323.7,491.22592479364107,324.22460776218,495.71347861178367,302.2227175463624,438.79903074360146,259.36963696369634,447.00110689437054
NP_001544.1,insulin-like growth factor-binding protein 7 isoform 1 precursor [Homo sapiens],104.4,117.8,147.4,138.8,95.8,94.6,116.1,118.9,147.4,82.1858758789361,98.74731626754748,79.64003228410007,127.46433666191157,91.87793427230048,101.0453795379538,77.03826691967107
NP_001613.2,alpha-2-HS-glycoprotein isoform 2 preproprotein [Homo sapiens],71339.8,63212.3,16319.6,16907.6,42331.4,38538.1,13592.7,14928.3,16319.6,56160.191073066344,11561.09083402147,35190.75221953188,15526.772467902996,49302.33908829321,12686.591584158416,31383.810088551545
NP_001624.1,protein AMBP preproprotein [Homo sapiens],84975.0,88893.0,44602.1,47739.3,98926.1,88815.8,32968.1,35023.4,44602.1,66894.10730663406,28040.580511973574,82238.80790960453,43840.476997146936,69331.96274420718,29764.110561056106,72327.85736875395
NP_001634.1,apolipoprotein A-II preproprotein [Homo sapiens],360.1,166.0,136.3,61.2,262.5,117.2,290.5,134.9,136.3,283.47829409966374,247.08092485549133,218.22033898305085,56.201854493580605,129.4714523701348,114.6427392739274,95.44275774826058
NP_001638.1,apolipoprotein D precursor [Homo sapiens],4735.2,5428.0,5063.9,5932.6,5174.7,5862.8,8268.4,9491.8,5063.9,3727.6490369917456,7032.57803468208,4301.808716707022,5448.090228245364,4233.560502801757,8066.463696369637,4774.418089816571
NP_001701.2,complement factor B preproprotein [Homo sapiens],1416.4,306.0,772.0,203.9,810.2,222.4,860.4,207.4,772.0,1115.0198715988995,731.8018166804294,673.5318805488298,187.24768188302426,238.66424352567017,176.25577557755776,181.1132194813409
NP_001729.1,carbonic anhydrase 1 isoform a [Homo sapiens],1988.8,2408.0,1167.9,1442.1,6424.0,7720.5,3897.3,4430.7,1167.9,1565.6251910730662,3314.79686209744,5340.371267150928,1324.3250713266762,1878.1160078752084,3765.3638613861385,6287.250948766602
NP_001747.3,corticosteroid-binding globulin precursor [Homo sapiens],536.2,589.8,376.7,458.6,441.4,520.3,613.1,760.7,376.7,422.10791806786915,521.4640792733278,366.94269572235675,421.14657631954356,460.0136301681054,646.4694719471947,423.7104680581909
NP_001760.1,CD9 antigen isoform 1 [Homo sapiens],567.7,729.1,575.3,810.6,503.4,659.6,553.4,763.3,575.3,446.9053806175482,470.6870355078447,418.48426150121065,744.3990727532098,568.6604573678632,648.6790429042904,537.1505376344086
NP_001783.2,cadherin-2 isoform 1 preproprotein [Homo sapiens],104.0,57.5,93.4,61.8,101.7,80.9,88.1,56.5,93.4,81.87098746560685,74.93228736581337,84.54479418886199,56.75285306704708,44.84703922459489,48.01567656765677,65.88156230234028
NP_001805.4,dipeptidyl peptidase 1 isoform a preproprotein [Homo sapiens],0.0,319.6,0.0,132.1,0.0,175.0,0.0,115.4,0.0,0.0,0.0,0.0,121.31151925820257,249.2715432379222,98.07095709570957,142.51265022137886
NP_001810.2,secretogranin-1 precursor [Homo sapiens],50.0,95.7,61.2,97.6,78.6,79.8,79.1,133.2,61.2,39.36105166615714,67.27745664739884,65.3414043583535,89.62910128388017,74.64107223989097,113.1980198019802,64.98576850094875
NP_001822.3,clusterin preproprotein [Homo sapiens],3568.8,4097.9,4164.8,4600.3,3038.4,3166.3,3973.0,4708.8,4164.8,2809.434423723632,3379.182493806771,2525.8692493946733,4224.597895863053,3196.1509919733458,4001.70297029703,2578.5017394054394
NP_001823.1,colipase isoform 1 preproprotein [Homo sapiens],52.6,418.5,20.8,172.7,43.9,330.8,25.8,156.7,20.8,41.40782635279731,21.943848059454997,36.49475383373689,158.59575606276746,326.4084507042254,133.1691419141914,269.3896268184693
NP_001837.2,collagen alpha-2(IV) chain preproprotein [Homo sapiens],450.4,350.9,399.8,320.4,434.8,372.1,646.4,527.0,399.8,354.5643534087435,549.7869529314615,361.45601291364005,294.2332382310984,273.6839315462669,447.8630363036304,303.0226122707147
NP_001839.2,collagen alpha-1(VI) chain precursor [Homo sapiens],4135.2,3975.7,3660.8,3846.3,4058.2,3725.0,3804.2,3594.4,3660.8,3255.31641699786,3235.611890999174,3373.644874899112,3532.176355206848,3100.8412842647285,3054.6468646864687,3033.483554712207
NP_001840.3,collagen alpha-2(VI) chain isoform 2C2 precursor [Homo sapiens],261.1,125.0,232.7,115.0,259.2,115.7,315.6,132.3,232.7,205.5434118006726,268.429397192403,215.47699757869248,105.60805991440799,97.49356353172801,112.4331683168317,94.22122074636304
NP_001846.3,collagen alpha-1(XV) chain precursor [Homo sapiens],294.7,150.0,234.0,117.0,167.8,89.0,135.2,100.8,234.0,231.99403852033015,114.99256812551609,139.4947538337369,107.44472182596292,116.99227623807361,85.66336633663366,72.47786211258696
NP_001859.1,carboxypeptidase A1 preproprotein [Homo sapiens],0.0,96.7,0.0,43.8,0.0,108.2,0.0,129.7,0.0,0.0,0.0,0.0,40.222895863052784,75.4210207481448,110.22359735973596,88.11353573687538
NP_001888.2,chondroitin sulfate proteoglycan 4 precursor [Homo sapiens],969.0,631.2,965.5,689.3,758.5,538.9,719.2,575.9,965.5,762.8171812901253,611.7060280759703,630.5528652138822,633.0055278174037,492.3034984098138,489.41996699669966,438.85752688172033
NP_001892.2,CCN family member 2 precursor [Homo sapiens],254.8,302.4,123.3,135.4,346.6,394.1,171.6,180.2,123.3,200.5839192907368,145.95210569777043,288.13397901533494,124.3420114122682,235.85642889595638,153.14026402640263,320.93848829854517
NP_001899.1,cathepsin B isoform 1 preproprotein [Homo sapiens],1228.0,1395.7,963.3,979.6,1403.7,1443.4,973.4,987.8,963.3,966.7074289208193,827.9124690338563,1166.9176755447943,899.5970042796007,1088.5741329698624,839.46699669967,1175.4443390259328
NP_001924.2,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial isoform 1 precursor [Homo sapiens]",215.8,97.4,222.4,101.0,250.7,106.8,273.0,96.8,222.4,169.8822989911342,232.19653179190752,208.41081517352703,92.75142653352354,75.96698470392248,82.26402640264027,86.97343453510435
NP_001926.2,dipeptidyl peptidase 4 isoform 1 [Homo sapiens],3904.2,3586.8,3223.5,2931.8,4623.5,4232.2,2267.0,2101.3,3223.5,3073.468358300214,1928.1668042939718,3843.587570621469,2692.3626961483596,2797.5193094048163,1785.7582508250828,3446.5259329538258
NP_001928.2,dermatopontin precursor [Homo sapiens],5676.8,6253.2,5278.6,5795.5,4310.1,4752.6,5571.9,6132.7,5278.6,4468.896361968817,4739.1056977704375,3583.0532687651335,5322.187054208274,4877.174011812813,5211.78300330033,3870.317836812144
NP_001934.2,desmoglein-2 preproprotein [Homo sapiens],189.5,117.5,83.3,53.7,164.9,102.1,75.5,43.1,83.3,149.17838581473555,64.21552436003303,137.08393866020987,49.31437232524965,91.64394971982433,36.62788778877888,83.14595192915874
NP_001968.3,glutamyl aminopeptidase isoform 1 [Homo sapiens],1204.3,1369.7,600.5,813.0,777.0,938.9,448.8,746.7,600.5,948.0502904310608,381.72089182493806,645.9322033898305,746.6030670470757,1068.295471755263,634.5717821782179,764.6007273877292
NP_001990.2,fibrillin-2 precursor [Homo sapiens],440.1,840.1,616.0,1217.8,477.3,1018.2,385.7,768.8,616.0,346.4559767655151,328.05202312138726,396.7869249394673,1118.3434379457917,655.2347417840376,653.3531353135313,829.1793168880455
NP_002067.1,N-acetylglucosamine-6-sulfatase precursor [Homo sapiens],3999.8,3467.2,3218.7,2818.3,4378.6,3787.6,3280.7,2887.3,3218.7,3148.7266890859064,2790.355904211395,3639.9983857949965,2588.132132667618,2704.237467817659,2453.7285478547856,3084.4623655913974
NP_002078.1,progranulin precursor [Homo sapiens],384.6,504.2,372.1,505.9,449.2,503.4,357.0,488.8,372.1,302.7652094160807,303.64161849710985,373.4269572235674,464.58363052781743,393.2500378615781,415.3993399339934,409.9478178368121
NP_002209.2,inter-alpha-trypsin inhibitor heavy chain H4 isoform 1 precursor [Homo sapiens],5701.3,6007.9,1881.9,2068.3,1766.4,1893.6,650.9,714.8,1881.9,4488.183277285234,553.6143682906688,1468.4358353510897,1899.3839158345224,4685.852642738149,607.4620462046204,1542.0683111954456
NP_002266.3,"keratin, type I cytoskeletal 15 [Homo sapiens]",108.2,0.0,82.2,0.0,83.5,0.0,100.3,0.0,82.2,85.17731580556405,85.30883567299752,69.41485068603713,0.0,0.0,0.0,0.0
NP_002278.2,leukocyte-associated immunoglobulin-like receptor 1 isoform a precursor [Homo sapiens],443.3,445.5,322.0,329.7,512.9,519.9,264.6,243.6,322.0,348.9750840721492,225.0520231213873,426.3817594834544,302.7737161198288,347.46706042707865,207.01980198019803,423.38472485768494
NP_002308.2,protein-lysine 6-oxidase isoform 1 preproprotein [Homo sapiens],2215.5,2488.3,556.3,613.5,516.8,573.2,107.3,120.2,556.3,1744.0881993274227,91.26259289843105,429.6238902340597,563.3960413694722,1940.7458730879907,102.15016501650166,466.79000632511065
NP_002336.1,lumican precursor [Homo sapiens],6972.8,6827.2,2919.9,3173.8,5887.5,5817.2,2871.3,4273.2,2919.9,5489.13482115561,2442.146160198183,4894.370460048426,2914.5987874465054,5324.864455550508,3631.5148514851485,4737.283364958886
NP_002347.5,myristoylated alanine-rich C-kinase substrate [Homo sapiens],127.7,215.3,87.7,133.4,143.7,240.4,134.9,172.6,87.7,100.52812595536533,114.73740710156895,119.46004842615011,122.50534950071328,167.92291382704835,146.68151815181517,195.7716635041113
NP_002498.1,tumor necrosis factor receptor superfamily member 16 precursor [Homo sapiens],96.8,0.0,143.9,0.0,129.0,0.0,122.9,0.0,143.9,76.20299602568022,104.5309661436829,107.23970944309927,0.0,0.0,0.0,0.0
NP_002499.2,nidogen-1 precursor [Homo sapiens],1684.2,2142.1,1462.5,1894.4,1286.7,1653.8,1161.4,1573.9,1462.5,1325.837664322837,987.813377374071,1069.6537530266344,1739.686162624822,1670.7276995305165,1337.555280528053,1346.7852624920934
NP_002505.1,CCN family member 3 precursor [Homo sapiens],1047.5,996.0,949.8,882.0,1029.6,978.9,1272.0,1188.6,949.8,824.614032405992,1081.8827415359208,855.9225181598063,809.9679029957205,776.8287142208088,1010.1138613861385,797.17504743833
NP_002584.2,procollagen C-endopeptidase enhancer 1 precursor [Homo sapiens],115.0,182.7,90.7,95.8,93.5,99.2,99.4,65.9,90.7,90.53041883216142,84.54335260115607,77.72800645682001,87.97610556348074,142.49659245797366,56.004125412541256,80.78431372549018
NP_002606.3,pigment epithelium-derived factor isoform 1 precursor [Homo sapiens],1668.9,1292.2,549.2,564.7,1377.7,1167.1,600.9,664.9,549.2,1313.793182512993,511.0875309661437,1145.3034705407588,518.5814907275321,1007.8494623655915,565.0552805280528,950.437223276407
NP_002621.1,gastricsin isoform 1 preproprotein [Homo sapiens],407.7,469.6,339.8,391.3,731.9,869.2,375.6,419.8,339.8,320.95001528584527,319.4616019818332,608.4398708635997,359.3429029957204,366.26381947599583,356.76072607260727,707.8399746995572
NP_002635.2,polymeric immunoglobulin receptor precursor [Homo sapiens],2129.4,2985.4,2159.2,3032.8,2501.8,3563.7,3313.4,4512.8,2159.2,1676.3084683583002,2818.1684558216352,2079.7853107344636,2785.114122681883,2328.4582765409664,3835.1353135313534,2902.1276091081586
NP_002643.1,prolactin-inducible protein precursor [Homo sapiens],34.5,0.0,37.2,0.0,48.8,0.0,21.5,0.0,37.2,27.159125649648423,18.28654004954583,40.5682001614205,0.0,0.0,0.0,0.0
NP_002650.1,urokinase plasminogen activator surface receptor isoform 1 precursor [Homo sapiens],136.5,150.9,119.9,142.9,143.1,154.0,119.0,136.6,119.9,107.45567104860899,101.21387283236994,118.96125907990314,131.22949358059915,117.69422989550206,116.08745874587459,125.41113219481339
NP_002760.1,trypsin-1 preproprotein [Homo sapiens],19650.5,18959.6,36211.7,35230.7,26207.5,25243.7,28505.7,27540.6,36211.7,15469.286915316417,24245.145334434354,21786.70298627926,32353.442403708985,14787.511737089202,23404.965346534653,20557.409076533837
NP_002764.1,prostasin preproprotein [Homo sapiens],70.2,35.9,83.1,55.0,87.2,52.9,81.9,50.8,83.1,55.262916539284625,69.65895953757226,72.4907183212268,50.50820256776034,28.000151446312284,43.17161716171617,43.07953826691966
NP_002817.2,sulfhydryl oxidase 1 isoform a precursor [Homo sapiens],41.9,172.6,39.6,149.2,33.5,128.1,35.5,118.8,39.6,32.98456129623968,30.194054500412882,27.84907183212268,137.01497860199714,134.61911252461005,100.96039603960396,104.31925996204932
NP_002841.3,receptor-type tyrosine-protein phosphatase S isoform 1 precursor [Homo sapiens],183.4,44.2,207.9,47.3,203.4,43.0,224.4,50.2,207.9,144.37633751146438,190.86044591246903,169.08958837772397,43.43705420827389,34.47372406481903,42.661716171617165,35.01739405439594
NP_002900.2,lithostathine-1-alpha precursor [Homo sapiens],1448.4,1642.0,691.6,705.2,1326.5,1269.7,923.1,1040.4,691.6,1140.21094466524,785.130470685384,1102.7401129943503,647.6069900142654,1280.6754505527792,884.1683168316832,1033.9903542061984
